day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag10,nonrepeat_cnt_per_user_lag10,match_rate_lag10,trip_cnt_per_user_lag11,nonrepeat_cnt_per_user_lag11,match_rate_lag11,trip_cnt_per_user_lag12,nonrepeat_cnt_per_user_lag12,match_rate_lag12,trip_cnt_per_user_lag13,nonrepeat_cnt_per_user_lag13,match_rate_lag13,trip_cnt_per_user_lag14,nonrepeat_cnt_per_user_lag14,match_rate_lag14,trip_cnt_per_user_lag15,nonrepeat_cnt_per_user_lag15,match_rate_lag15,trip_cnt_per_user_lag16,nonrepeat_cnt_per_user_lag16,match_rate_lag16,trip_cnt_per_user_lag17,nonrepeat_cnt_per_user_lag17,match_rate_lag17,trip_cnt_per_user_lag18,nonrepeat_cnt_per_user_lag18,match_rate_lag18,trip_cnt_per_user_lag19,nonrepeat_cnt_per_user_lag19,match_rate_lag19,trip_cnt_per_user_lag20,nonrepeat_cnt_per_user_lag20,match_rate_lag20,trip_cnt_per_user_lag21,nonrepeat_cnt_per_user_lag21,match_rate_lag21,mgm_day,face_value,face_value_num
2025-07-28,不發,控制組,14天在其他尖峰預估車資,中區,4.0,9.0,0.5555555555555556,0,0.8571428571428571,333.0,0.012012012012012,0.027027027027027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-07-29,不發,控制組,14天在其他尖峰預估車資,中區,6.0,7.0,0.875,0,1.0,333.0,0.018018018018018,0.021021021021021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-07-30,不發,控制組,14天在其他尖峰預估車資,中區,11.0,24.0,0.4782608695652174,0,1.0,333.0,0.033033033033033,0.072072072072072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-07-31,不發,控制組,14天在其他尖峰預估車資,中區,6.0,25.0,0.2307692307692307,0,0.8571428571428571,333.0,0.018018018018018,0.075075075075075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-08-01,不發,控制組,14天在其他尖峰預估車資,中區,7.0,9.0,0.875,0,0.8571428571428571,333.0,0.021021021021021,0.027027027027027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-08-02,不發,控制組,14天在其他尖峰預估車資,中區,5.0,9.0,0.5555555555555556,1,1.0,333.0,0.015015015015015,0.027027027027027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-08-03,不發,控制組,14天在其他尖峰預估車資,中區,6.0,8.0,0.7777777777777778,1,1.0,333.0,0.018018018018018,0.024024024024024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-08-04,不發,控制組,14天在其他尖峰預估車資,中區,39.0,52.0,0.7818181818181819,0,1.0,1455.0,0.0268041237113402,0.0357388316151202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2025-08-05,不發,控制組,14天在其他尖峰預估車資,中區,25.0,32.0,0.875,0,1.0,1455.0,0.0171821305841924,0.0219931271477663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2025-08-06,不發,控制組,14天在其他尖峰預估車資,中區,26.0,28.0,0.9032258064516128,0,0.8571428571428571,1455.0,0.0178694158075601,0.0192439862542955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2025-08-07,不發,控制組,14天在其他尖峰預估車資,中區,25.0,31.0,0.8387096774193549,0,0.8571428571428571,1455.0,0.0171821305841924,0.0213058419243986,0.012012012012012,0.027027027027027,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2025-08-08,不發,控制組,14天在其他尖峰預估車資,中區,45.0,56.0,0.8392857142857143,0,0.0,1455.0,0.0309278350515463,0.038487972508591,0.018018018018018,0.021021021021021,0.875,0.012012012012012,0.027027027027027,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2025-08-09,不發,控制組,14天在其他尖峰預估車資,中區,34.0,42.0,0.8780487804878049,1,0.4285714285714285,1455.0,0.0233676975945017,0.0288659793814433,0.033033033033033,0.072072072072072,0.4782608695652174,0.018018018018018,0.021021021021021,0.875,0.012012012012012,0.027027027027027,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2025-08-10,不發,控制組,14天在其他尖峰預估車資,中區,32.0,47.0,0.7391304347826086,1,0.2857142857142857,1455.0,0.0219931271477663,0.0323024054982817,0.018018018018018,0.075075075075075,0.2307692307692307,0.033033033033033,0.072072072072072,0.4782608695652174,0.018018018018018,0.021021021021021,0.875,0.012012012012012,0.027027027027027,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
