day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag2w,nonrepeat_cnt_per_user_lag2w,match_rate_lag2w,trip_cnt_per_user_lag3w,nonrepeat_cnt_per_user_lag3w,match_rate_lag3w,face_value,face_value_num
2025-11-03,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,8.0,8.0,1.0,0,0.0,193.0,0.0414507772020725,0.0414507772020725,,,,,,,15,2
2025-11-04,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,3.0,1.0,0,0.0,193.0,0.0155440414507772,0.0155440414507772,,,,,,,15,2
2025-11-05,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,4.0,0.75,0,0.0,193.0,0.0155440414507772,0.0207253886010362,,,,,,,15,2
2025-11-06,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,10.0,11.0,0.9090909090909092,0,0.0,193.0,0.0518134715025906,0.0569948186528497,,,,,,,15,2
2025-11-07,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,14.0,20.0,0.75,0,0.0,193.0,0.0725388601036269,0.1036269430051813,,,,,,,15,2
2025-11-08,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,2.0,3.0,1.0,1,0.0,193.0,0.0103626943005181,0.0155440414507772,,,,,,,15,2
2025-11-09,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,2.0,4.0,0.5,1,0.0,193.0,0.0103626943005181,0.0207253886010362,,,,,,,15,2
2025-11-10,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,2.0,2.0,1.0,0,0.0,71.0,0.028169014084507,0.028169014084507,,,,,,,15,2
2025-11-11,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,3.0,1.0,0,0.0,71.0,0.0422535211267605,0.0422535211267605,,,,,,,15,2
2025-11-12,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,1.0,3.0,1.0,0,1.0,71.0,0.0140845070422535,0.0422535211267605,,,,,,,15,2
2025-11-13,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.0,0.0,0.0,0,0.8571428571428571,71.0,0.0,0.0,,,,,,,15,2
2025-11-14,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.0,1.0,0.0,0,0.0,71.0,0.0,0.0140845070422535,,,,,,,15,2
2025-11-15,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,5.0,0.8,1,0.0,71.0,0.056338028169014,0.0704225352112676,,,,,,,15,2
2025-11-16,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,1.0,1.0,1.0,1,0.0,71.0,0.0140845070422535,0.0140845070422535,,,,,,,15,2
2025-11-17,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,5.0,0.5714285714285714,0,0.0,189.0,0.0158730158730158,0.0264550264550264,0.0414507772020725,0.0414507772020725,1.0,,,,15,2
2025-11-18,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,7.0,0.8,0,0.0,189.0,0.0158730158730158,0.037037037037037,0.0155440414507772,0.0155440414507772,1.0,,,,15,2
2025-11-19,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,6.0,1.0,0,0.0,189.0,0.0211640211640211,0.0317460317460317,0.0155440414507772,0.0207253886010362,0.75,,,,15,2
2025-11-20,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,6.0,8.0,0.8,0,0.0,189.0,0.0317460317460317,0.0423280423280423,0.0518134715025906,0.0569948186528497,0.9090909090909092,,,,15,2
2025-11-21,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,7.0,0.8333333333333334,0,0.0,189.0,0.0211640211640211,0.037037037037037,0.0725388601036269,0.1036269430051813,0.75,,,,15,2
2025-11-22,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,8.0,0.5714285714285714,1,0.0,189.0,0.0264550264550264,0.0423280423280423,0.0103626943005181,0.0155440414507772,1.0,,,,15,2
