experiment_date,treatment,source,ops_type_merged,city_group,user_cnt,nonrepeat_cnt,trip_cnt,weekday_nonrepeat_cnt,weekend_nonrepeat_cnt,weekday_trip_cnt,weekend_trip_cnt,nonrepeat_cnt_per_user,trip_cnt_per_user,weekday_nonrepeat_cnt_per_user,weekend_nonrepeat_cnt_per_user,weekday_trip_cnt_per_user,weekend_trip_cnt_per_user,weekday_match_rate,weekend_match_rate,coupon_BD_total,coupon_CDP_total,coupon_folk_total,coupon_growth_other_total,coupon_MGM_total,coupon_MKT_total,coupon_register_total,coupon_daily_total,avg_rainy_day,avg_rainy_weekday,avg_rainy_weekend,mgm_day
2025-07-28,不發,控制組,14天在其他尖峰預估車資,中區,333,91,45,74,17,34,11,0.2732732732732733,0.13513513513513514,0.2222222222222222,0.05105105105105105,0.1021021021021021,0.03303303303303303,0.5235294117647059,0.7490909090909091,20,114,0,2,9,0,24,0,0.8979591836734694,0.0,0.5,7
2025-07-28,不發,控制組,14天在其他尖峰預估車資,北區,1220,228,161,165,63,129,32,0.18688524590163935,0.1319672131147541,0.13524590163934427,0.051639344262295085,0.10573770491803279,0.02622950819672131,0.7931007751937985,0.7790625,107,583,0,12,299,0,30,1,0.7321428571428571,0.0,0.0,7
2025-07-28,不發,控制組,14天在其他尖峰預估車資,南區,374,73,51,52,21,36,15,0.19518716577540107,0.13636363636363635,0.13903743315508021,0.05614973262032086,0.0962566844919786,0.040106951871657755,0.7519444444444444,0.85,30,129,1,2,10,1,21,0,0.8095238095238094,0.3666666666666667,0.5833333333333334,7
2025-07-28,不發,控制組,14天在晚尖峰預估車資,中區,106,34,23,23,11,15,8,0.32075471698113206,0.2169811320754717,0.2169811320754717,0.10377358490566038,0.14150943396226415,0.07547169811320754,0.744,0.9175,10,36,0,2,1,0,0,0,0.8979591836734694,0.0,0.5,7
2025-07-28,不發,控制組,14天在晚尖峰預估車資,北區,288,56,42,48,8,37,5,0.19444444444444445,0.14583333333333334,0.16666666666666666,0.027777777777777776,0.1284722222222222,0.017361111111111112,0.8456756756756757,0.75,37,90,0,2,56,0,6,0,0.7321428571428571,0.0,0.0,7
2025-07-28,不發,控制組,14天在晚尖峰預估車資,南區,126,21,12,14,7,9,3,0.16666666666666666,0.09523809523809523,0.1111111111111111,0.05555555555555555,0.07142857142857142,0.023809523809523808,0.7244444444444444,1.0,0,27,0,0,0,0,6,0,0.9142857142857143,0.44000000000000006,0.7,7
2025-07-28,不發,控制組,90天在尖峰預估車資,中區,670,67,42,47,20,29,13,0.1,0.0626865671641791,0.07014925373134329,0.029850746268656716,0.04328358208955224,0.019402985074626865,0.7258620689655172,0.6307692307692307,1,139,0,2,16,2,11,0,0.8979591836734694,0.0,0.5,7
2025-07-28,不發,控制組,90天在尖峰預估車資,北區,1768,129,92,95,34,56,36,0.07296380090497738,0.05203619909502263,0.05373303167420815,0.019230769230769232,0.03167420814479638,0.020361990950226245,0.7621428571428571,0.9011111111111111,23,437,0,12,128,0,33,2,0.7321428571428571,0.0,0.0,7
2025-07-28,不發,控制組,90天在尖峰預估車資,南區,664,68,46,53,15,29,17,0.10240963855421686,0.06927710843373494,0.07981927710843373,0.022590361445783132,0.043674698795180725,0.025602409638554216,0.7655172413793104,0.7194117647058824,0,134,0,4,2,0,6,1,0.8095238095238094,0.3666666666666667,0.5833333333333334,7
2025-07-28,不發,控制組,喚回-其他,中區,502,47,30,42,5,21,9,0.09362549800796813,0.05976095617529881,0.08366533864541832,0.0099601593625498,0.04183266932270916,0.017928286852589643,0.7714285714285714,0.6477777777777778,15,181,0,2,4,0,4,1,0.8979591836734694,0.0,0.5,7
2025-07-28,不發,控制組,喚回-其他,北區,1731,154,102,121,33,68,34,0.08896591565569036,0.058925476603119586,0.06990179087232813,0.019064124783362217,0.039283651068746386,0.019641825534373193,0.706764705882353,0.8491176470588234,10,655,0,18,131,0,10,0,0.7321428571428571,0.0,0.0,7
2025-07-28,不發,控制組,喚回-其他,南區,465,40,29,31,9,20,9,0.08602150537634409,0.06236559139784946,0.06666666666666667,0.01935483870967742,0.043010752688172046,0.01935483870967742,0.7725000000000001,0.8511111111111112,0,174,0,2,32,0,3,0,0.8928571428571428,0.55,0.875,7
2025-07-28,不發,控制組,喚回-高優惠敏感,中區,67,7,7,5,2,5,2,0.1044776119402985,0.1044776119402985,0.07462686567164178,0.029850746268656716,0.07462686567164178,0.029850746268656716,1.0,1.0,0,21,0,0,2,0,0,0,0.8809523809523809,0.0,0.5,7
