treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
不發,控制組,養成Regular-其他,中區,trip_cnt_per_user,0.0033887194031301665,0.0033887194031301665,1
不發,控制組,養成Regular-高優惠敏感,北區,trip_cnt_per_user,0.0034840482877821627,0.0034840482877821627,1
不發,控制組,養成Regular-高優惠敏感,中區,trip_cnt_per_user,0.005722651180508964,0.005722651180508964,1
不發,控制組,喚回-高優惠敏感,北區,trip_cnt_per_user,0.006462860451954655,0.006462860451954655,1
不發,控制組,14天在其他尖峰預估車資,南區,trip_cnt_per_user,0.012115471906706657,0.012115471906706657,1
不發,控制組,喚回-高優惠敏感,南區,trip_cnt_per_user,0.014332799584211645,0.014332799584211645,1
不發,控制組,14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.014419499774952035,0.014419499774952035,1
不發,控制組,喚回-高優惠敏感,中區,trip_cnt_per_user,0.01929169296800394,0.01929169296800394,1
不發,控制組,養成Regular-其他,北區,trip_cnt_per_user,0.022635058668204144,0.022635058668204144,1
不發,控制組,養成Regular-高優惠敏感,南區,trip_cnt_per_user,0.024147512480927835,0.024147512480927835,1
不發,控制組,既有regular鞏固,南區,trip_cnt_per_user,0.03817924763628126,0.03817924763628126,1
不發,控制組,喚回-其他,北區,trip_cnt_per_user,0.04078534300740524,0.04078534300740524,1
不發,控制組,喚回-其他,南區,trip_cnt_per_user,0.04127531221742324,0.04127531221742324,1
不發,控制組,喚回-其他,中區,trip_cnt_per_user,0.04408023952714684,0.04408023952714684,1
不發,控制組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.04725395411872074,0.04725395411872074,1
