treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
不發,控制組,養成Regular-其他,中區,nonrepeat_cnt_per_user,0.0010348249632504136,0.0010348249632504136,1
不發,控制組,養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.00927135194974879,0.00927135194974879,1
不發,控制組,喚回-高優惠敏感,中區,nonrepeat_cnt_per_user,0.013565342214236276,0.013565342214236276,1
不發,控制組,養成Regular-其他,北區,nonrepeat_cnt_per_user,0.01781871585546363,0.01781871585546363,1
不發,控制組,喚回-高優惠敏感,北區,nonrepeat_cnt_per_user,0.02294249774824947,0.02294249774824947,1
不發,控制組,14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.025741723642751818,0.025741723642751818,1
不發,控制組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.033677771331805384,0.033677771331805384,1
不發,控制組,14天在其他尖峰預估車資,南區,nonrepeat_cnt_per_user,0.033756189226905375,0.033756189226905375,1
不發,控制組,喚回-高優惠敏感,南區,nonrepeat_cnt_per_user,0.033792407332336266,0.033792407332336266,1
不發,控制組,喚回-其他,北區,nonrepeat_cnt_per_user,0.03858018595550522,0.03858018595550522,1
不發,控制組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.03976198399889272,0.03976198399889272,1
不發,控制組,養成Regular-高優惠敏感,南區,nonrepeat_cnt_per_user,0.04380803295384972,0.04380803295384972,1
不發,控制組,喚回-其他,中區,nonrepeat_cnt_per_user,0.05626598735773662,0.05626598735773662,1
不發,控制組,喚回-其他,南區,nonrepeat_cnt_per_user,0.05665388275622123,0.05665388275622123,1
不發,控制組,90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.06225143515945253,0.06225143515945253,1
不發,控制組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.06413526315765739,0.06413526315765739,1
不發,控制組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.06478517324968122,0.06478517324968122,1
不發,控制組,養成Regular-其他,南區,nonrepeat_cnt_per_user,0.06631549024391573,0.06631549024391573,1
不發,控制組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.07361500735081547,0.07361500735081547,1
不發,控制組,14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.08055620002400099,0.08055620002400099,1
不發,控制組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.12673103613594397,0.12673103613594397,1
不發,控制組,14天在晚尖峰預估車資,北區,nonrepeat_cnt_per_user,0.12710946105505136,0.12710946105505136,1
不發,控制組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.1679495897184937,0.1679495897184937,1
不發,控制組,既有regular鞏固,北區,nonrepeat_cnt_per_user,0.19847879909025098,0.19847879909025098,1
