city_group,target,model,MAE,RMSE,n
__UNK__,nonrepeat_cnt_per_user,baseline_lag1,,,0
__UNK__,nonrepeat_cnt_per_user,baseline_roll4,,,0
__UNK__,nonrepeat_cnt_per_user,lgbm_global,,,0
中區,nonrepeat_cnt_per_user,baseline_lag1,0.04027985497673989,0.04763917644099042,8
中區,nonrepeat_cnt_per_user,baseline_roll4,0.017597112878569004,0.022072969514947947,8
中區,nonrepeat_cnt_per_user,lgbm_global,0.05291139814439813,0.06640912591794136,8
北區,nonrepeat_cnt_per_user,baseline_lag1,0.01832756911309999,0.025631124555258074,8
北區,nonrepeat_cnt_per_user,baseline_roll4,0.025381893636044914,0.032291239830863835,8
北區,nonrepeat_cnt_per_user,lgbm_global,0.08078987559421406,0.10535963215580796,8
南區,nonrepeat_cnt_per_user,baseline_lag1,0.035942778357336974,0.047933951483603576,8
南區,nonrepeat_cnt_per_user,baseline_roll4,0.02070246342216645,0.025459696337902904,8
南區,nonrepeat_cnt_per_user,lgbm_global,0.048623520320414844,0.0509669556217093,8
__UNK__,trip_cnt_per_user,baseline_lag1,,,0
__UNK__,trip_cnt_per_user,baseline_roll4,,,0
__UNK__,trip_cnt_per_user,lgbm_global,,,0
中區,trip_cnt_per_user,baseline_lag1,0.03396985729203063,0.039899954222726706,8
中區,trip_cnt_per_user,baseline_roll4,0.017117763964435824,0.021871974180998517,8
中區,trip_cnt_per_user,lgbm_global,0.04001672825520083,0.04813701963475021,8
北區,trip_cnt_per_user,baseline_lag1,0.015671909292858936,0.023281981259208637,8
北區,trip_cnt_per_user,baseline_roll4,0.009499273821865164,0.013017167374347442,8
北區,trip_cnt_per_user,lgbm_global,0.04529982434397166,0.056594024411904635,8
南區,trip_cnt_per_user,baseline_lag1,0.022859844833461096,0.03156220485904528,8
南區,trip_cnt_per_user,baseline_roll4,0.013204697546571047,0.01748845793496665,8
南區,trip_cnt_per_user,lgbm_global,0.03203337083347167,0.03632626319675641,8
