ops_type_merged,target,model,MAE,RMSE,n
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.023205965066552214,0.030936896406354816,3
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.03069989832773128,0.03723619315904264,3
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.09408732632313337,0.10929447433431064,3
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.0737689821559459,0.07458009039959111,3
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.019262258855916464,0.02535975418397915,3
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.07548873068287289,0.0860980463058755,3
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.0033082585417645674,0.003951867568987484,3
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.006104723939730998,0.00791280917353634,3
90天在尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.05559953080267549,0.056725582776295136,3
__UNK__,nonrepeat_cnt_per_user,baseline_lag1,,,0
__UNK__,nonrepeat_cnt_per_user,baseline_roll4,,,0
__UNK__,nonrepeat_cnt_per_user,lgbm_global,,,0
喚回-其他,nonrepeat_cnt_per_user,baseline_lag1,0.010917016734826694,0.01206907609985811,3
喚回-其他,nonrepeat_cnt_per_user,baseline_roll4,0.012966792825539267,0.013198551923398102,3
喚回-其他,nonrepeat_cnt_per_user,lgbm_global,0.05050001868982102,0.05119881025003739,3
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.04319977707191334,0.05704282382942804,3
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.027502785080469924,0.032332725888935036,3
喚回-高優惠敏感,nonrepeat_cnt_per_user,lgbm_global,0.02343341576494067,0.024848229350950452,3
既有regular鞏固,nonrepeat_cnt_per_user,baseline_lag1,0.04849170911123964,0.051846184683675994,3
既有regular鞏固,nonrepeat_cnt_per_user,baseline_roll4,0.03345784151610056,0.037959102317222326,3
既有regular鞏固,nonrepeat_cnt_per_user,lgbm_global,0.12978169946128412,0.1409112264142453,3
養成Regular-其他,nonrepeat_cnt_per_user,baseline_lag1,0.024795822888047436,0.02648440618212228,3
養成Regular-其他,nonrepeat_cnt_per_user,baseline_roll4,0.01390409910215327,0.01814278429163256,3
養成Regular-其他,nonrepeat_cnt_per_user,lgbm_global,0.02838967702087659,0.03964980766549904,3
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.024446341622181803,0.024638641766612995,3
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.025918853517105878,0.02695252627446788,3
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,lgbm_global,0.028919052078467965,0.03234859090253683,3
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.02034773942282501,0.02576667165223037,3
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.010023771211413105,0.013522932101523482,3
14天在其他尖峰預估車資,trip_cnt_per_user,lgbm_global,0.04583671127907216,0.052609873035566856,3
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.05387594024847609,0.055505390878264345,3
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.015396370483940389,0.017694076159485855,3
14天在晚尖峰預估車資,trip_cnt_per_user,lgbm_global,0.04201880442122178,0.046334954499265724,3
90天在尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.005951291881700432,0.006472813722887559,3
90天在尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.0022989099731210647,0.003241453914209642,3
90天在尖峰預估車資,trip_cnt_per_user,lgbm_global,0.051849733745045305,0.05195333820884969,3
__UNK__,trip_cnt_per_user,baseline_lag1,,,0
__UNK__,trip_cnt_per_user,baseline_roll4,,,0
__UNK__,trip_cnt_per_user,lgbm_global,,,0
喚回-其他,trip_cnt_per_user,baseline_lag1,0.010544497300040569,0.01111316641015147,3
喚回-其他,trip_cnt_per_user,baseline_roll4,0.009380657779316232,0.011645190296095917,3
喚回-其他,trip_cnt_per_user,lgbm_global,0.042046964917325104,0.0420720141331032,3
喚回-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.03881957436929977,0.04566865968921872,3
喚回-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.027174346783831797,0.03178159217382413,3
喚回-高優惠敏感,trip_cnt_per_user,lgbm_global,0.01336245100139008,0.01436856669625691,3
既有regular鞏固,trip_cnt_per_user,baseline_lag1,0.033220553022436726,0.040193507032986374,3
既有regular鞏固,trip_cnt_per_user,baseline_roll4,0.0211064312063186,0.024102991402006578,3
既有regular鞏固,trip_cnt_per_user,lgbm_global,0.07898905341753543,0.08472046599825912,3
養成Regular-其他,trip_cnt_per_user,baseline_lag1,0.02149505618746036,0.023782165335930035,3
養成Regular-其他,trip_cnt_per_user,baseline_roll4,0.013187736391165864,0.015503506038368815,3
養成Regular-其他,trip_cnt_per_user,lgbm_global,0.027711339722388217,0.03552186621472312,3
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.00908297801669613,0.013052737407591197,3
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.007623070391885038,0.008347824020095651,3
養成Regular-高優惠敏感,trip_cnt_per_user,lgbm_global,0.011118070649739653,0.014468237487935933,3
