treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
不發,控制組,既有regular鞏固,北區,trip_cnt_per_user,0.11197767645834487,0.11197767645834487,1
不發,控制組,既有regular鞏固,中區,trip_cnt_per_user,0.08681023615798016,0.08681023615798016,1
不發,控制組,14天在其他尖峰預估車資,北區,trip_cnt_per_user,0.07483613120662495,0.07483613120662495,1
不發,控制組,養成Regular-其他,南區,trip_cnt_per_user,0.057110241095830336,0.057110241095830336,1
不發,控制組,14天在晚尖峰預估車資,中區,trip_cnt_per_user,0.056673390935976856,0.056673390935976856,1
不發,控制組,14天在晚尖峰預估車資,北區,trip_cnt_per_user,0.05496352255273647,0.05496352255273647,1
不發,控制組,90天在尖峰預估車資,南區,trip_cnt_per_user,0.05468688197144034,0.05468688197144034,1
不發,控制組,90天在尖峰預估車資,中區,trip_cnt_per_user,0.053608365144974836,0.053608365144974836,1
不發,控制組,14天在其他尖峰預估車資,中區,trip_cnt_per_user,0.05055853072388487,0.05055853072388487,1
不發,控制組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.04725395411872074,0.04725395411872074,1
不發,控制組,喚回-其他,中區,trip_cnt_per_user,0.04408023952714684,0.04408023952714684,1
不發,控制組,喚回-其他,南區,trip_cnt_per_user,0.04127531221742324,0.04127531221742324,1
不發,控制組,喚回-其他,北區,trip_cnt_per_user,0.04078534300740524,0.04078534300740524,1
不發,控制組,既有regular鞏固,南區,trip_cnt_per_user,0.03817924763628126,0.03817924763628126,1
不發,控制組,養成Regular-高優惠敏感,南區,trip_cnt_per_user,0.024147512480927835,0.024147512480927835,1
