treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
20x2元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,3.6205048034254617e-05,3.6205048034254617e-05,1
15x2元1張,隨機組,90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.00026923362235328763,0.00026923362235328763,1
20元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.00027787334216620996,0.00027787334216620996,1
20x2元1張,隨機組,養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.0007152985514825572,0.0007152985514825572,1
15元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,0.0007770837394877605,0.0007770837394877605,1
40x2元1張,隨機組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.0008748886578296283,0.0008748886578296283,1
15元1張,隨機組,喚回-其他,南區,nonrepeat_cnt_per_user,0.0009386063124915273,0.0009386063124915273,1
40x2元1張,隨機組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.0010657754872624159,0.0010657754872624159,1
20x2元1張,隨機組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.001081462890984708,0.001081462890984708,1
15x2元1張,隨機組,養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.0011218364368607292,0.0011218364368607292,1
15元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.002193069236168299,0.002193069236168299,1
20x2元1張,隨機組,養成Regular-其他,南區,nonrepeat_cnt_per_user,0.0029086200028742293,0.0029086200028742293,1
15x2元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,0.003346937864536617,0.003346937864536617,1
20x2元1張,隨機組,14天在晚尖峰預估車資,北區,nonrepeat_cnt_per_user,0.0040170710051266045,0.0040170710051266045,1
30元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.004266032746997994,0.004266032746997994,1
