treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
15元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,7.201509933534023e-05,7.201509933534023e-05,1
15x2元1張,隨機組,喚回-高優惠敏感,南區,trip_cnt_per_user,0.0003181791514610538,0.0003181791514610538,1
40元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.00045634076696292325,0.00045634076696292325,1
15元1張,隨機組,喚回-高優惠敏感,南區,trip_cnt_per_user,0.0005808905131512582,0.0005808905131512582,1
15元1張,隨機組,90天在尖峰預估車資,南區,trip_cnt_per_user,0.0006607918503812801,0.0006607918503812801,1
40元1張,隨機組,14天在其他尖峰預估車資,南區,trip_cnt_per_user,0.0009821266089345138,0.0009821266089345138,1
40x2元1張,隨機組,喚回-其他,南區,trip_cnt_per_user,0.0013410732428137118,0.0013410732428137118,1
40x2元1張,隨機組,養成Regular-其他,中區,trip_cnt_per_user,0.0015624248236700972,0.0015624248236700972,1
40x2元1張,隨機組,90天在尖峰預估車資,中區,trip_cnt_per_user,0.0015765459275295518,0.0015765459275295518,1
30x2元1張,隨機組,養成Regular-其他,中區,trip_cnt_per_user,0.001982126061043428,0.001982126061043428,1
15元1張,隨機組,喚回-其他,中區,trip_cnt_per_user,0.002270180678067002,0.002270180678067002,1
30元1張,隨機組,90天在尖峰預估車資,南區,trip_cnt_per_user,0.002312736130297137,0.002312736130297137,1
15元1張,隨機組,14天在其他尖峰預估車資,北區,trip_cnt_per_user,0.0023270921377719633,0.0023270921377719633,1
20元1張,隨機組,養成Regular-其他,南區,trip_cnt_per_user,0.00238628165621977,0.00238628165621977,1
30元1張,隨機組,90天在尖峰預估車資,中區,trip_cnt_per_user,0.002406315852627239,0.002406315852627239,1
