city_group,target,model,MAE,RMSE,n
__UNK__,nonrepeat_cnt_per_user,baseline_lag1,,,0
__UNK__,nonrepeat_cnt_per_user,baseline_roll4,,,0
__UNK__,nonrepeat_cnt_per_user,lgbm_global,,,0
中區,nonrepeat_cnt_per_user,baseline_lag1,0.06884375096054454,0.10262346440343599,64
中區,nonrepeat_cnt_per_user,baseline_roll4,0.05402755860991318,0.07726618823849565,64
中區,nonrepeat_cnt_per_user,lgbm_global,0.050138446764633415,0.06738940094878752,64
北區,nonrepeat_cnt_per_user,baseline_lag1,0.033372393559631064,0.04531897337673316,64
北區,nonrepeat_cnt_per_user,baseline_roll4,0.035128927064509756,0.04748504219297373,64
北區,nonrepeat_cnt_per_user,lgbm_global,0.028243884407620795,0.03794465042017727,64
南區,nonrepeat_cnt_per_user,baseline_lag1,0.05828200256169425,0.08625639645888133,64
南區,nonrepeat_cnt_per_user,baseline_roll4,0.04368476754236397,0.06922194771576073,64
南區,nonrepeat_cnt_per_user,lgbm_global,0.045019750825198476,0.06827361162651452,64
__UNK__,trip_cnt_per_user,baseline_lag1,,,0
__UNK__,trip_cnt_per_user,baseline_roll4,,,0
__UNK__,trip_cnt_per_user,lgbm_global,,,0
中區,trip_cnt_per_user,baseline_lag1,0.05519643041443134,0.08213463314904258,64
中區,trip_cnt_per_user,baseline_roll4,0.042391351956832524,0.06211229174754805,64
中區,trip_cnt_per_user,lgbm_global,0.0373639763451523,0.05076584957735762,64
北區,trip_cnt_per_user,baseline_lag1,0.026301650463433593,0.03518001751875247,64
北區,trip_cnt_per_user,baseline_roll4,0.022454471768349218,0.03188354609306728,64
北區,trip_cnt_per_user,lgbm_global,0.021096134605251338,0.02858403460872026,64
南區,trip_cnt_per_user,baseline_lag1,0.04905180229007354,0.06627467877270228,64
南區,trip_cnt_per_user,baseline_roll4,0.0366681238205281,0.05599087333510021,64
南區,trip_cnt_per_user,lgbm_global,0.03268177810878195,0.049250136946032703,64
