ops_type_merged,target,model,MAE,RMSE,n
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.05541959679285239,0.0659216607755186,24
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.049005332829150546,0.05489746713951378,24
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.03937981317987875,0.04654645657365057,24
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.11737632745550719,0.1642018350461915,24
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.09478359503743422,0.12726848951425032,24
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.08419783509872641,0.10747291890253542,24
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.019610728521756424,0.022962151620386242,24
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.019306278474569425,0.02170604097721861,24
90天在尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.017623642432234146,0.021764959802334696,24
__UNK__,nonrepeat_cnt_per_user,baseline_lag1,,,0
__UNK__,nonrepeat_cnt_per_user,baseline_roll4,,,0
__UNK__,nonrepeat_cnt_per_user,lgbm_global,,,0
喚回-其他,nonrepeat_cnt_per_user,baseline_lag1,0.025650611724006425,0.03517478429242393,24
喚回-其他,nonrepeat_cnt_per_user,baseline_roll4,0.021802784094959903,0.027408693739549437,24
喚回-其他,nonrepeat_cnt_per_user,lgbm_global,0.01765855939574486,0.025541253504710006,24
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.07919264771176472,0.09824207322101995,24
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.052132965129526,0.06745931088664311,24
喚回-高優惠敏感,nonrepeat_cnt_per_user,lgbm_global,0.05171913429964083,0.06080339758755547,24
既有regular鞏固,nonrepeat_cnt_per_user,baseline_lag1,0.06727362954313482,0.0822466096987071,24
既有regular鞏固,nonrepeat_cnt_per_user,baseline_roll4,0.0660347806285951,0.0865282179339867,24
既有regular鞏固,nonrepeat_cnt_per_user,lgbm_global,0.0610193311887241,0.08341739953323819,24
養成Regular-其他,nonrepeat_cnt_per_user,baseline_lag1,0.028214982271916267,0.039546449574150475,24
養成Regular-其他,nonrepeat_cnt_per_user,baseline_roll4,0.02659543026208389,0.031687840046499015,24
養成Regular-其他,nonrepeat_cnt_per_user,lgbm_global,0.030788613493151682,0.03741367622164123,24
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.03525653486404809,0.04846754911420174,24
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.024582175455112706,0.03514906779473714,24
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,lgbm_global,0.026685289571773043,0.03848897902584509,24
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.044083796655013774,0.051724376134417376,24
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.034124937203149304,0.042212734456042865,24
14天在其他尖峰預估車資,trip_cnt_per_user,lgbm_global,0.03209039708384134,0.0423577600170196,24
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.09062894225340866,0.12365393119911272,24
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.06582865067746523,0.09337684655058409,24
14天在晚尖峰預估車資,trip_cnt_per_user,lgbm_global,0.054201803579745196,0.06925675692011952,24
90天在尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.013935076495536514,0.018478070106729385,24
90天在尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.011927934370763981,0.01379932819045378,24
90天在尖峰預估車資,trip_cnt_per_user,lgbm_global,0.011217717633801694,0.014433931659419447,24
__UNK__,trip_cnt_per_user,baseline_lag1,,,0
__UNK__,trip_cnt_per_user,baseline_roll4,,,0
__UNK__,trip_cnt_per_user,lgbm_global,,,0
喚回-其他,trip_cnt_per_user,baseline_lag1,0.020731278781867438,0.029262937668885502,24
喚回-其他,trip_cnt_per_user,baseline_roll4,0.015236161060115614,0.018537225500582382,24
喚回-其他,trip_cnt_per_user,lgbm_global,0.01459290387471733,0.01910935448928288,24
喚回-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.05881936401257701,0.07270265207566513,24
喚回-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.044735640083248186,0.057007473908736374,24
喚回-高優惠敏感,trip_cnt_per_user,lgbm_global,0.03895868410805666,0.04990665970556981,24
既有regular鞏固,trip_cnt_per_user,baseline_lag1,0.05955605434321496,0.07333782967737215,24
既有regular鞏固,trip_cnt_per_user,baseline_roll4,0.05817533528933653,0.07395632286664415,24
既有regular鞏固,trip_cnt_per_user,lgbm_global,0.04916738341961056,0.0650706250616494,24
養成Regular-其他,trip_cnt_per_user,baseline_lag1,0.029271521853709098,0.04138033633948687,24
養成Regular-其他,trip_cnt_per_user,baseline_roll4,0.02067116262233312,0.02916032314019703,24
養成Regular-其他,trip_cnt_per_user,lgbm_global,0.021334199118517676,0.030370398379810253,24
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.031106987385841788,0.0382482619818169,24
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.020004038815480983,0.02745333658537207,24
養成Regular-高優惠敏感,trip_cnt_per_user,lgbm_global,0.021481948672871117,0.026609133154042394,24
