treatment,target,model,MAE,RMSE,n
15x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.03546957299399032,0.049439419287873564,24
15x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.033860938386357314,0.04740794730342142,24
15x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.0319892723324478,0.04534133428539241,24
15元1張,nonrepeat_cnt_per_user,baseline_lag1,0.049072167247101305,0.10562276769992862,24
15元1張,nonrepeat_cnt_per_user,baseline_roll4,0.03963627681816464,0.06987868512208466,24
15元1張,nonrepeat_cnt_per_user,lgbm_global,0.028072377439676558,0.03860557309966192,24
20x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.04421977639916319,0.07236223471857989,24
20x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.04728605031465664,0.07659858516698248,24
20x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.04046923344593104,0.06502807182429335,24
20元1張,nonrepeat_cnt_per_user,baseline_lag1,0.0788956528760485,0.11299218038253465,24
20元1張,nonrepeat_cnt_per_user,baseline_roll4,0.05835535520083054,0.08947236700224144,24
20元1張,nonrepeat_cnt_per_user,lgbm_global,0.05341245096502752,0.09085911885359113,24
30x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.046087693868472925,0.061378444579216346,24
30x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.04388570975100078,0.05522666137106192,24
30x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.042808925901892926,0.05252799698571977,24
30元1張,nonrepeat_cnt_per_user,baseline_lag1,0.053499824394671526,0.07085450034903953,24
30元1張,nonrepeat_cnt_per_user,baseline_roll4,0.04778945531284834,0.0627220701960294,24
30元1張,nonrepeat_cnt_per_user,lgbm_global,0.04210910253983854,0.0517680395127033,24
40x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.06118198384760782,0.08360750562987536,24
40x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.05265523990979345,0.06907228658612392,24
40x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.05053680940088515,0.06647840433855216,24
40元1張,nonrepeat_cnt_per_user,baseline_lag1,0.05956838725793071,0.07758626711114877,24
40元1張,nonrepeat_cnt_per_user,baseline_roll4,0.030774316217780078,0.04418870362640021,24
40元1張,nonrepeat_cnt_per_user,lgbm_global,0.03967404663417428,0.04991007214822136,24
__UNK__,nonrepeat_cnt_per_user,baseline_lag1,,,0
__UNK__,nonrepeat_cnt_per_user,baseline_roll4,,,0
__UNK__,nonrepeat_cnt_per_user,lgbm_global,,,0
15x2元1張,trip_cnt_per_user,baseline_lag1,0.027118754691499946,0.038220481007258944,24
15x2元1張,trip_cnt_per_user,baseline_roll4,0.025652839818767568,0.037707192698429974,24
15x2元1張,trip_cnt_per_user,lgbm_global,0.02252011847387439,0.033665803555043505,24
15元1張,trip_cnt_per_user,baseline_lag1,0.04578945335400938,0.09287364704743656,24
15元1張,trip_cnt_per_user,baseline_roll4,0.037785816429452085,0.06464602052014455,24
15元1張,trip_cnt_per_user,lgbm_global,0.020513766111946247,0.03303550833245872,24
20x2元1張,trip_cnt_per_user,baseline_lag1,0.03556608378683857,0.05691970505309724,24
20x2元1張,trip_cnt_per_user,baseline_roll4,0.03272680099600656,0.05582661342003924,24
20x2元1張,trip_cnt_per_user,lgbm_global,0.028598630326904784,0.043523016467999096,24
20元1張,trip_cnt_per_user,baseline_lag1,0.06538101705518783,0.0842812505770064,24
20元1張,trip_cnt_per_user,baseline_roll4,0.044078114062333675,0.06460524369858286,24
20元1張,trip_cnt_per_user,lgbm_global,0.04366988606149765,0.06203618758609276,24
30x2元1張,trip_cnt_per_user,baseline_lag1,0.03683806826943898,0.05237355262326227,24
30x2元1張,trip_cnt_per_user,baseline_roll4,0.030825164537087484,0.042420499593087115,24
30x2元1張,trip_cnt_per_user,lgbm_global,0.02997556832283342,0.04097063854505121,24
30元1張,trip_cnt_per_user,baseline_lag1,0.04409165551386981,0.058757224469675136,24
30元1張,trip_cnt_per_user,baseline_roll4,0.043874025898581505,0.05961013306723893,24
30元1張,trip_cnt_per_user,lgbm_global,0.03798563122523241,0.05050539124536709,24
40x2元1張,trip_cnt_per_user,baseline_lag1,0.040583122592637084,0.050337325277853895,24
40x2元1張,trip_cnt_per_user,baseline_roll4,0.03683166100376051,0.050966308247927514,24
40x2元1張,trip_cnt_per_user,lgbm_global,0.03472878777729229,0.047501834098776216,24
40元1張,trip_cnt_per_user,baseline_lag1,0.05276486651768767,0.06200073209107633,24
40元1張,trip_cnt_per_user,baseline_roll4,0.018929437375903545,0.022732808063258513,24
40元1張,trip_cnt_per_user,lgbm_global,0.025052649191580387,0.032652217931883526,24
__UNK__,trip_cnt_per_user,baseline_lag1,,,0
__UNK__,trip_cnt_per_user,baseline_roll4,,,0
__UNK__,trip_cnt_per_user,lgbm_global,,,0
