treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
20元1張,隨機組,14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.3067645005905052,0.3067645005905052,1
20x2元1張,隨機組,14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.21270314220285633,0.21270314220285633,1
20元1張,隨機組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.20586091770763298,0.20586091770763298,1
20元1張,隨機組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.19947142705383689,0.19947142705383689,1
40x2元1張,隨機組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.16741579437756587,0.16741579437756587,1
15x2元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.15047241714390192,0.15047241714390192,1
20x2元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.1451638422483243,0.1451638422483243,1
40x2元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.14303927096853064,0.14303927096853064,1
40元1張,隨機組,養成Regular-高優惠敏感,南區,nonrepeat_cnt_per_user,0.11938219493278632,0.11938219493278632,1
40x2元1張,隨機組,14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.11679606316766106,0.11679606316766106,1
20x2元1張,隨機組,喚回-高優惠敏感,中區,nonrepeat_cnt_per_user,0.11359448612303312,0.11359448612303312,1
40元1張,隨機組,喚回-高優惠敏感,中區,nonrepeat_cnt_per_user,0.10701306967461272,0.10701306967461272,1
30x2元1張,隨機組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.10601430753075258,0.10601430753075258,1
30元1張,隨機組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.104119990044483,0.104119990044483,1
30x2元1張,隨機組,14天在晚尖峰預估車資,北區,nonrepeat_cnt_per_user,0.10169693138406327,0.10169693138406327,1
