treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
20元1張,隨機組,14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.16679451979461002,0.16679451979461002,1
20x2元1張,隨機組,14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.16301128044445043,0.16301128044445043,1
20元1張,隨機組,既有regular鞏固,中區,trip_cnt_per_user,0.15688672458633737,0.15688672458633737,1
20元1張,隨機組,既有regular鞏固,南區,trip_cnt_per_user,0.13036720708523938,0.13036720708523938,1
30元1張,隨機組,既有regular鞏固,南區,trip_cnt_per_user,0.12527462875689985,0.12527462875689985,1
40x2元1張,隨機組,14天在其他尖峰預估車資,中區,trip_cnt_per_user,0.11461765621172185,0.11461765621172185,1
15x2元1張,隨機組,14天在晚尖峰預估車資,中區,trip_cnt_per_user,0.11036693618720139,0.11036693618720139,1
40x2元1張,隨機組,既有regular鞏固,中區,trip_cnt_per_user,0.10973485437764083,0.10973485437764083,1
30元1張,隨機組,養成Regular-其他,中區,trip_cnt_per_user,0.10307619800585728,0.10307619800585728,1
30x2元1張,隨機組,喚回-高優惠敏感,南區,trip_cnt_per_user,0.10011565741016809,0.10011565741016809,1
15元1張,隨機組,喚回-高優惠敏感,中區,trip_cnt_per_user,0.09927300047487825,0.09927300047487825,1
30x2元1張,隨機組,喚回-高優惠敏感,北區,trip_cnt_per_user,0.09776894743110273,0.09776894743110273,1
30元1張,隨機組,14天在其他尖峰預估車資,南區,trip_cnt_per_user,0.08839410242303439,0.08839410242303439,1
40元1張,隨機組,14天在晚尖峰預估車資,中區,trip_cnt_per_user,0.08721736150339426,0.08721736150339426,1
40x2元1張,隨機組,喚回-高優惠敏感,中區,trip_cnt_per_user,0.08564038936558895,0.08564038936558895,1
