cat_feature,category_value,n,mean_shap,mean_abs_shap
ops_type_merged,既有regular鞏固,3,0.025481316013995933,0.025481316013995933
ops_type_merged,14天在其他尖峰預估車資,3,0.019058684277913598,0.0190586842779136
ops_type_merged,14天在晚尖峰預估車資,3,0.0073361792551286,0.0073361792551286
ops_type_merged,養成Regular-高優惠敏感,3,-0.0007311999939499334,0.0007311999939499334
ops_type_merged,喚回-高優惠敏感,3,-0.006725462821578001,0.006725462821577999
ops_type_merged,養成Regular-其他,3,-0.011641633690176532,0.011641633690176532
ops_type_merged,喚回-其他,3,-0.013537558403002132,0.013537558403002135
ops_type_merged,90天在尖峰預估車資,3,-0.017604009342321435,0.017604009342321435
city_group,北區,8,0.0016867149251654,0.0016867149251654
city_group,中區,8,0.0016618067435262625,0.0016618067435262625
city_group,南區,8,-0.0032044121821279,0.0032044121821279
