feature,mean_abs_shap
ops_type_merged,0.012764505474758311
trip_cnt_per_user_roll4,0.009535721644079535
weekday_nonrepeat_cnt_per_user_roll4,0.008055439002738434
weekend_trip_cnt_per_user_lag1,0.004044987469782671
weekday_trip_cnt_per_user_roll4,0.003218446259032389
log_coupon_register_total_per_user_roll4,0.0022424300135399718
city_group,0.0021843112836065796
log_coupon_MGM_total_per_user_lag2,0.0021032104407013768
weekend_nonrepeat_cnt_per_user_roll4,0.0018137640845811603
avg_rainy_day,0.001561431801178282
nonrepeat_cnt_per_user_roll4,0.0015553156616075526
log_coupon_BD_total_per_user_lag2,0.0014913296476288303
avg_rainy_weekday,0.0013400612834520971
log_coupon_BD_total_per_user_roll4,0.0012463024301412773
weekend_nonrepeat_cnt_per_user_lag2,0.0012101758132510513
log_coupon_CDP_total_per_user_lag2,0.0010813265805608532
weekend_match_rate_roll4,0.0010106253197729347
log_coupon_register_total_per_user_lag1,0.0009727525913156626
log_coupon_register_total_per_user_lag2,0.0007148135539403254
log_coupon_CDP_total_per_user_roll4,0.0005994629012890972
log_coupon_growth_other_total_per_user_roll4,0.0005790775492171728
delta_nonrepeat_per_user,0.0003584299407950917
weekday_match_rate_lag1,0.0003033035930441189
log_coupon_MGM_total_per_user_roll4,0.00025359859360183946
weekend_match_rate_lag2,0.0001767312832904305
log_coupon_CDP_total_per_user_lag1,0.0001611476303292363
weekend_nonrepeat_cnt_per_user_lag1,0.00015915483688124237
weekday_match_rate_lag2,0.00013603647202931903
delta_trip_per_user,0.00013554978440744175
log_coupon_total_per_user_roll4,0.00012894143133779213
weekend_trip_cnt_per_user_lag2,0.0001286134623481486
weekday_trip_cnt_per_user_lag1,0.00012554628296352775
log_coupon_total_per_user_lag2,0.00012309993176199305
nonrepeat_cnt_per_user_lag1,0.00011473277115976129
log_coupon_total_per_user_lag1,0.000112352460672361
trip_cnt_per_user_lag1,9.574519209692445e-05
log_coupon_daily_total_per_user_roll4,8.688984739080355e-05
log_coupon_MKT_total_per_user_lag1,7.109315769776207e-05
weekend_trip_cnt_per_user_roll4,6.577873244340415e-05
log_coupon_growth_other_total_per_user_lag2,6.520097162568163e-05
weekday_nonrepeat_cnt_per_user_lag1,5.991092888339366e-05
weekday_trip_cnt_per_user_lag2,3.5325701914792346e-05
source,0.0
trip_cnt_per_user_lag2,0.0
treatment,0.0
nonrepeat_cnt_per_user_lag1_isna,0.0
trip_cnt_per_user_roll4_isna,0.0
mgm_day,0.0
has_national_holiday,0.0
weekday_match_rate_lag2_isna,0.0
weekday_match_rate_lag1_isna,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0
weekday_trip_cnt_per_user_lag2_isna,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0
nonrepeat_cnt_per_user_lag2,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0
avg_rainy_weekend,0.0
trip_cnt_per_user_lag1_isna,0.0
trip_cnt_per_user_lag2_isna,0.0
log_coupon_BD_total_per_user_roll4_isna,0.0
log_coupon_BD_total_per_user_lag1_isna,0.0
log_coupon_BD_total_per_user_lag2_isna,0.0
log_coupon_CDP_total_per_user_lag1_isna,0.0
weekend_match_rate_lag2_isna,0.0
weekend_match_rate_lag1,0.0
log_coupon_BD_total_per_user_lag1,0.0
weekend_match_rate_roll4_isna,0.0
weekend_match_rate_lag1_isna,0.0
weekday_match_rate_roll4,0.0
weekday_match_rate_roll4_isna,0.0
