feature,mean_shap
log_coupon_MGM_total_per_user_lag2,0.0020803080217203043
weekend_trip_cnt_per_user_lag1,0.0011981583395161916
log_coupon_CDP_total_per_user_lag2,0.0010813265805608085
weekend_nonrepeat_cnt_per_user_roll4,0.0010183863744873298
log_coupon_BD_total_per_user_lag2,0.0008569080546564875
log_coupon_BD_total_per_user_roll4,0.00077998592620875
log_coupon_CDP_total_per_user_roll4,0.0005994629012890541
weekday_trip_cnt_per_user_roll4,0.0005069325799807209
weekday_nonrepeat_cnt_per_user_roll4,0.0003030553795201664
weekday_match_rate_lag1,0.00022401551969757083
ops_type_merged,0.0002045394120012625
nonrepeat_cnt_per_user_roll4,0.00015039031033233532
log_coupon_MGM_total_per_user_roll4,0.0001085905057506375
delta_nonrepeat_per_user,7.041664143784625e-05
log_coupon_daily_total_per_user_roll4,4.944661960010567e-05
city_group,4.80364955212542e-05
log_coupon_total_per_user_roll4,3.390922063655833e-05
log_coupon_growth_other_total_per_user_lag2,2.6433861514095562e-05
log_coupon_total_per_user_lag1,2.448196051719177e-05
log_coupon_MKT_total_per_user_lag1,7.23621331951361e-06
trip_cnt_per_user_lag1,9.061059189122575e-07
source,0.0
has_national_holiday,0.0
treatment,0.0
trip_cnt_per_user_lag2,0.0
nonrepeat_cnt_per_user_lag1_isna,0.0
mgm_day,0.0
trip_cnt_per_user_roll4_isna,0.0
trip_cnt_per_user_lag2_isna,0.0
trip_cnt_per_user_lag1_isna,0.0
avg_rainy_weekend,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0
nonrepeat_cnt_per_user_lag2,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_lag2_isna,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0
weekday_match_rate_lag1_isna,0.0
weekday_match_rate_lag2_isna,0.0
log_coupon_growth_other_total_per_user_roll4_isna,0.0
log_coupon_growth_other_total_per_user_lag2_isna,0.0
log_coupon_growth_other_total_per_user_lag1,0.0
log_coupon_growth_other_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_roll4_isna,0.0
log_coupon_folk_total_per_user_roll4,0.0
