cat_feature,category_value,n,mean_shap,mean_abs_shap
treatment,15x2元1張,1,0.0,0.0
treatment,15元1張,1,0.0,0.0
treatment,20x2元1張,0,,
treatment,20元1張,0,,
treatment,30x2元1張,0,,
treatment,30元1張,0,,
treatment,40x2元1張,0,,
treatment,40元1張,0,,
source,隨機組,2,0.0,0.0
ops_type_merged,養成Regular-其他,1,-0.0053462076615804,0.0053462076615804
ops_type_merged,養成Regular-高優惠敏感,1,-0.0164713666777544,0.0164713666777544
ops_type_merged,14天在其他尖峰預估車資,0,,
ops_type_merged,14天在晚尖峰預估車資,0,,
ops_type_merged,90天在尖峰預估車資,0,,
ops_type_merged,喚回-其他,0,,
ops_type_merged,喚回-高優惠敏感,0,,
ops_type_merged,既有regular鞏固,0,,
city_group,中區,1,0.0016006063528074,0.0016006063528074
city_group,北區,1,0.001182740093916,0.001182740093916
city_group,南區,0,,
