cat_feature,category_value,n,mean_shap,mean_abs_shap
ops_type_merged,既有regular鞏固,3,0.025133540414436568,0.025133540414436564
ops_type_merged,14天在其他尖峰預估車資,3,0.0223042710499725,0.0223042710499725
ops_type_merged,14天在晚尖峰預估車資,3,0.014501257682326999,0.014501257682326999
ops_type_merged,養成Regular-高優惠敏感,3,-0.006179516411094234,0.006179516411094234
ops_type_merged,喚回-高優惠敏感,3,-0.010780490427998201,0.010780490427998201
ops_type_merged,養成Regular-其他,3,-0.0119317294611612,0.0119317294611612
ops_type_merged,喚回-其他,3,-0.01629327922038633,0.01629327922038633
ops_type_merged,90天在尖峰預估車資,3,-0.016425594197825865,0.01642559419782587
city_group,北區,8,0.0033011382635011626,0.0033011382635011626
city_group,中區,8,0.00121388626182045,0.00121388626182045
city_group,南區,8,-0.004594285142537187,0.004594285142537187
