feature,mean_abs_shap,mean_shap
ops_type_merged,0.015443709858150237,4.105742853377937e-05
trip_cnt_per_user_roll4,0.013980567104178684,0.0014270301053189917
weekday_nonrepeat_cnt_per_user_roll4,0.006394827700036504,1.2010054921542661e-06
nonrepeat_cnt_per_user_roll4,0.006042394263662862,0.001010670174854004
weekday_trip_cnt_per_user_roll4,0.003807774476401954,0.0005785677788006292
avg_rainy_weekday,0.0037969107548094876,-0.0037969107548094876
weekend_nonrepeat_cnt_per_user_roll4,0.0031138916878977337,0.0018144699296282084
city_group,0.003036436555952933,-2.6420205738524976e-05
weekend_trip_cnt_per_user_lag1,0.0021897843940776917,0.0012781631038700835
log_coupon_BD_total_per_user_roll4,0.001915726272686225,0.0011303898924656082
weekend_nonrepeat_cnt_per_user_lag1,0.0017673645175311416,0.0008323197975591834
log_coupon_MGM_total_per_user_lag2,0.001655463636320375,0.001655463636320375
log_coupon_BD_total_per_user_lag2,0.0015685054785635956,0.0009708016387038459
avg_rainy_weekend,0.00155864041291645,-0.00155864041291645
delta_nonrepeat_per_user,0.0013303862108710873,7.367175532054192e-06
log_coupon_CDP_total_per_user_lag2,0.0009909621103068955,0.0009658273600586959
log_coupon_register_total_per_user_roll4,0.000981349618912725,0.00023995867043670005
log_coupon_MGM_total_per_user_roll4,0.0009623490926234001,-0.00010869366344249992
log_coupon_MGM_total_per_user_lag1,0.0009509756609916917,-0.0008497434516730667
avg_rainy_day,0.0009309210871432083,-0.0009309210871432083
log_coupon_total_per_user_lag1,0.0008083710234081625,-0.0008083710234081625
log_coupon_register_total_per_user_lag2,0.0008043467767670583,-0.00029996125227644996
mgm_day,0.0007862893738784958,-0.0007862893738784958
nonrepeat_cnt_per_user_lag1,0.0005878917421929234,0.00023782988608923492
weekend_match_rate_roll4,0.0005387568544745709,-0.0004939235201058375
log_coupon_BD_total_per_user_lag1,0.000518614684382225,0.00018217701383399165
weekday_match_rate_lag1,0.00047111481246965835,0.0003390068578479667
log_coupon_register_total_per_user_lag1,0.00043520078286827515,-3.465349631967488e-05
log_coupon_total_per_user_lag2,0.000420210112623088,-0.00029559055039331305
trip_cnt_per_user_lag1,0.0004106907241835,-6.3710056318e-05
has_national_holiday,0.00034290561964160003,-0.00034290561964160003
weekday_trip_cnt_per_user_lag2,0.00030104124335541665,7.834050994776666e-05
nonrepeat_cnt_per_user_lag1_isna,0.0,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0,0.0
trip_cnt_per_user_lag2,0.0,0.0
trip_cnt_per_user_roll4_isna,0.0,0.0
trip_cnt_per_user_lag1_isna,0.0,0.0
source,0.0,0.0
treatment,0.0,0.0
trip_cnt_per_user_lag2_isna,0.0,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0,0.0
weekday_nonrepeat_cnt_per_user_lag2,0.0,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0,0.0
weekday_nonrepeat_cnt_per_user_lag1,0.0,0.0
nonrepeat_cnt_per_user_lag2,0.0,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0,0.0
weekday_match_rate_lag2_isna,0.0,0.0
weekday_match_rate_lag2,0.0,0.0
weekday_match_rate_lag1_isna,0.0,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0,0.0
weekend_trip_cnt_per_user_roll4,0.0,0.0
weekend_trip_cnt_per_user_lag2,0.0,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0,0.0
weekday_trip_cnt_per_user_lag1,0.0,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0,0.0
weekday_trip_cnt_per_user_lag2_isna,0.0,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0,0.0
weekend_nonrepeat_cnt_per_user_lag2,0.0,0.0
