feature,mean_shap
weekend_nonrepeat_cnt_per_user_roll4,0.0018144699296282084
log_coupon_MGM_total_per_user_lag2,0.001655463636320375
trip_cnt_per_user_roll4,0.0014270301053189917
weekend_trip_cnt_per_user_lag1,0.0012781631038700835
log_coupon_BD_total_per_user_roll4,0.0011303898924656082
nonrepeat_cnt_per_user_roll4,0.001010670174854004
log_coupon_BD_total_per_user_lag2,0.0009708016387038459
log_coupon_CDP_total_per_user_lag2,0.0009658273600586959
weekend_nonrepeat_cnt_per_user_lag1,0.0008323197975591834
weekday_trip_cnt_per_user_roll4,0.0005785677788006292
weekday_match_rate_lag1,0.0003390068578479667
log_coupon_register_total_per_user_roll4,0.00023995867043670005
nonrepeat_cnt_per_user_lag1,0.00023782988608923492
log_coupon_BD_total_per_user_lag1,0.00018217701383399165
weekday_trip_cnt_per_user_lag2,7.834050994776666e-05
ops_type_merged,4.105742853377937e-05
delta_nonrepeat_per_user,7.367175532054192e-06
weekday_nonrepeat_cnt_per_user_roll4,1.2010054921542661e-06
weekday_nonrepeat_cnt_per_user_lag1,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0
nonrepeat_cnt_per_user_lag2,0.0
nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0
trip_cnt_per_user_lag2_isna,0.0
treatment,0.0
source,0.0
trip_cnt_per_user_lag1_isna,0.0
trip_cnt_per_user_roll4_isna,0.0
trip_cnt_per_user_lag2,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag2,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_lag2_isna,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0
weekday_trip_cnt_per_user_lag1,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0
weekend_trip_cnt_per_user_lag2,0.0
weekend_trip_cnt_per_user_roll4,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0
weekday_match_rate_lag1_isna,0.0
weekday_match_rate_lag2,0.0
weekday_match_rate_lag2_isna,0.0
log_coupon_growth_other_total_per_user_roll4_isna,0.0
log_coupon_growth_other_total_per_user_roll4,0.0
log_coupon_growth_other_total_per_user_lag2_isna,0.0
log_coupon_growth_other_total_per_user_lag2,0.0
log_coupon_growth_other_total_per_user_lag1_isna,0.0
log_coupon_growth_other_total_per_user_lag1,0.0
log_coupon_folk_total_per_user_roll4_isna,0.0
log_coupon_folk_total_per_user_roll4,0.0
log_coupon_folk_total_per_user_lag2_isna,0.0
log_coupon_MKT_total_per_user_lag1,0.0
log_coupon_MKT_total_per_user_lag2,0.0
log_coupon_MKT_total_per_user_lag2_isna,0.0
log_coupon_MKT_total_per_user_lag1_isna,0.0
log_coupon_MGM_total_per_user_roll4_isna,0.0
weekend_match_rate_lag1,0.0
weekend_match_rate_lag1_isna,0.0
log_coupon_CDP_total_per_user_lag1_isna,0.0
log_coupon_CDP_total_per_user_lag2_isna,0.0
log_coupon_CDP_total_per_user_roll4,0.0
log_coupon_CDP_total_per_user_roll4_isna,0.0
log_coupon_folk_total_per_user_lag1,0.0
log_coupon_folk_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_lag2,0.0
weekday_match_rate_roll4,0.0
weekend_match_rate_roll4_isna,0.0
weekend_match_rate_lag2_isna,0.0
weekend_match_rate_lag2,0.0
log_coupon_BD_total_per_user_lag1_isna,0.0
log_coupon_BD_total_per_user_lag2_isna,0.0
log_coupon_BD_total_per_user_roll4_isna,0.0
log_coupon_CDP_total_per_user_lag1,0.0
weekday_match_rate_roll4_isna,0.0
log_coupon_register_total_per_user_lag2_isna,0.0
log_coupon_register_total_per_user_lag1_isna,0.0
log_coupon_MKT_total_per_user_roll4,0.0
log_coupon_MKT_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_lag2,0.0
log_coupon_register_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_lag1,0.0
log_coupon_daily_total_per_user_lag1_isna,0.0
log_coupon_daily_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_roll4,0.0
log_coupon_daily_total_per_user_lag2_isna,0.0
log_coupon_total_per_user_lag1_isna,0.0
log_coupon_total_per_user_lag2_isna,0.0
log_coupon_total_per_user_roll4,0.0
log_coupon_MGM_total_per_user_lag2_isna,0.0
log_coupon_MGM_total_per_user_lag1_isna,0.0
log_coupon_total_per_user_roll4_isna,0.0
delta_trip_per_user,0.0
city_group,-2.6420205738524976e-05
log_coupon_register_total_per_user_lag1,-3.465349631967488e-05
trip_cnt_per_user_lag1,-6.3710056318e-05
log_coupon_MGM_total_per_user_roll4,-0.00010869366344249992
log_coupon_total_per_user_lag2,-0.00029559055039331305
log_coupon_register_total_per_user_lag2,-0.00029996125227644996
has_national_holiday,-0.00034290561964160003
weekend_match_rate_roll4,-0.0004939235201058375
mgm_day,-0.0007862893738784958
log_coupon_total_per_user_lag1,-0.0008083710234081625
log_coupon_MGM_total_per_user_lag1,-0.0008497434516730667
avg_rainy_day,-0.0009309210871432083
avg_rainy_weekend,-0.00155864041291645
avg_rainy_weekday,-0.0037969107548094876
