ops_type_merged,city_group,target,RMSE,MAE,n
14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.002562747847866337,0.002562747847866337,1
喚回-其他,中區,nonrepeat_cnt_per_user,0.004281704129560873,0.004281704129560873,1
既有regular鞏固,中區,nonrepeat_cnt_per_user,0.004820769898113586,0.004820769898113586,1
喚回-其他,南區,nonrepeat_cnt_per_user,0.005659474649219766,0.005659474649219766,1
喚回-其他,北區,nonrepeat_cnt_per_user,0.012763708166807691,0.012763708166807691,1
90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.01329232504438866,0.01329232504438866,1
90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.014210183489762288,0.014210183489762288,1
養成Regular-其他,北區,nonrepeat_cnt_per_user,0.017854489137224747,0.017854489137224747,1
14天在其他尖峰預估車資,南區,nonrepeat_cnt_per_user,0.018187792946986886,0.018187792946986886,1
90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.021871227913758222,0.021871227913758222,1
14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.025401726443492895,0.025401726443492895,1
14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.025738052504164083,0.025738052504164083,1
養成Regular-其他,南區,nonrepeat_cnt_per_user,0.03120328969673245,0.03120328969673245,1
14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.034397675007861256,0.034397675007861256,1
既有regular鞏固,北區,nonrepeat_cnt_per_user,0.037101795339798155,0.037101795339798155,1
