ops_type_merged,city_group,target,RMSE,MAE,n
喚回-其他,南區,trip_cnt_per_user,0.00400220169466696,0.00400220169466696,1
喚回-其他,中區,trip_cnt_per_user,0.004187460809377153,0.004187460809377153,1
喚回-其他,北區,trip_cnt_per_user,0.0045090236157907665,0.0045090236157907665,1
90天在尖峰預估車資,中區,trip_cnt_per_user,0.006390817648185311,0.006390817648185311,1
90天在尖峰預估車資,南區,trip_cnt_per_user,0.006422674708702211,0.006422674708702211,1
喚回-高優惠敏感,中區,trip_cnt_per_user,0.008977914159567488,0.008977914159567488,1
養成Regular-其他,北區,trip_cnt_per_user,0.01071102052740329,0.01071102052740329,1
養成Regular-其他,南區,trip_cnt_per_user,0.013814394840857475,0.013814394840857475,1
90天在尖峰預估車資,北區,trip_cnt_per_user,0.014299007968689437,0.014299007968689437,1
14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.015756722951985755,0.015756722951985755,1
14天在其他尖峰預估車資,北區,trip_cnt_per_user,0.017774519572350517,0.017774519572350517,1
既有regular鞏固,北區,trip_cnt_per_user,0.01857702913668688,0.01857702913668688,1
14天在其他尖峰預估車資,南區,trip_cnt_per_user,0.01923781138179588,0.01923781138179588,1
14天在其他尖峰預估車資,中區,trip_cnt_per_user,0.02000599436615212,0.02000599436615212,1
既有regular鞏固,中區,trip_cnt_per_user,0.023884898495537016,0.023884898495537016,1
