ops_type_merged,city_group,target,RMSE,MAE,n
14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.002562747847866337,0.002562747847866337,1
喚回-其他,中區,nonrepeat_cnt_per_user,0.004281704129560873,0.004281704129560873,1
既有regular鞏固,中區,nonrepeat_cnt_per_user,0.004820769898113586,0.004820769898113586,1
喚回-其他,南區,nonrepeat_cnt_per_user,0.005659474649219766,0.005659474649219766,1
喚回-其他,北區,nonrepeat_cnt_per_user,0.012763708166807691,0.012763708166807691,1
90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.01329232504438866,0.01329232504438866,1
90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.014210183489762288,0.014210183489762288,1
養成Regular-其他,北區,nonrepeat_cnt_per_user,0.017854489137224747,0.017854489137224747,1
14天在其他尖峰預估車資,南區,nonrepeat_cnt_per_user,0.018187792946986886,0.018187792946986886,1
90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.021871227913758222,0.021871227913758222,1
14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.025401726443492895,0.025401726443492895,1
14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.025738052504164083,0.025738052504164083,1
養成Regular-其他,南區,nonrepeat_cnt_per_user,0.03120328969673245,0.03120328969673245,1
14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.034397675007861256,0.034397675007861256,1
既有regular鞏固,北區,nonrepeat_cnt_per_user,0.037101795339798155,0.037101795339798155,1
喚回-高優惠敏感,中區,nonrepeat_cnt_per_user,0.03766537344117532,0.03766537344117532,1
喚回-高優惠敏感,北區,nonrepeat_cnt_per_user,0.04016609136341914,0.04016609136341914,1
養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.04739418521690804,0.04739418521690804,1
既有regular鞏固,南區,nonrepeat_cnt_per_user,0.04927739571126455,0.04927739571126455,1
喚回-高優惠敏感,南區,nonrepeat_cnt_per_user,0.05027329752675247,0.05027329752675247,1
養成Regular-高優惠敏感,南區,nonrepeat_cnt_per_user,0.053695345472953224,0.053695345472953224,1
14天在晚尖峰預估車資,北區,nonrepeat_cnt_per_user,0.057115044726438025,0.057115044726438025,1
養成Regular-其他,中區,nonrepeat_cnt_per_user,0.057501734110545114,0.057501734110545114,1
養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.06202457833840969,0.06202457833840969,1
