city_group,target,model,MAE,RMSE,n
中區,nonrepeat_cnt_per_user,baseline_lag1,0.04234852542963289,0.051022619308929054,8
中區,nonrepeat_cnt_per_user,baseline_roll4,0.03677973644892058,0.043241829748402766,8
中區,nonrepeat_cnt_per_user,lgbm_tuned,0.02718309578291181,0.035364968454310655,8
北區,nonrepeat_cnt_per_user,baseline_lag1,0.07277898971074823,0.08080232439101079,8
北區,nonrepeat_cnt_per_user,baseline_roll4,0.06065437360343947,0.06726236576390805,8
北區,nonrepeat_cnt_per_user,lgbm_tuned,0.03250057429606476,0.035568047853743984,8
南區,nonrepeat_cnt_per_user,baseline_lag1,0.036834899915265354,0.046048487126509205,8
南區,nonrepeat_cnt_per_user,baseline_roll4,0.03302747047694967,0.04291565838223203,8
南區,nonrepeat_cnt_per_user,lgbm_tuned,0.03087383093647386,0.03535049621759094,8
中區,trip_cnt_per_user,baseline_lag1,0.024562493906546842,0.032882696564186686,8
中區,trip_cnt_per_user,baseline_roll4,0.01899889739527738,0.025663210238536995,8
中區,trip_cnt_per_user,lgbm_tuned,0.021177688827281,0.025249341484731583,8
北區,trip_cnt_per_user,baseline_lag1,0.027226640067127002,0.03133471619404595,8
北區,trip_cnt_per_user,baseline_roll4,0.02802807697183726,0.030977614438881203,8
北區,trip_cnt_per_user,lgbm_tuned,0.02141602749548989,0.02455363249672779,8
南區,trip_cnt_per_user,baseline_lag1,0.019845647525431,0.024308019404968528,8
南區,trip_cnt_per_user,baseline_roll4,0.01970096860853375,0.023009830107406367,8
南區,trip_cnt_per_user,lgbm_tuned,0.021785127284179088,0.026032317171092653,8
