ops_type_merged,target,model,MAE,RMSE,n
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.05849105805623775,0.06960980866393505,3
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.0357161971549827,0.047552997247135104,3
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,lgbm_tuned,0.026107840153004075,0.02693475576856054,3
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.052384349473530295,0.06527934171109225,3
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.05110685068024113,0.06729343380906613,3
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,lgbm_tuned,0.028359839672599085,0.03611991010022407,3
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.023159587566360898,0.025282616624577786,3
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.01941376559655653,0.02141234625409061,3
90天在尖峰預估車資,nonrepeat_cnt_per_user,lgbm_tuned,0.016457912149303058,0.016901339496757366,3
喚回-其他,nonrepeat_cnt_per_user,baseline_lag1,0.0185675609291802,0.019912495699071293,3
喚回-其他,nonrepeat_cnt_per_user,baseline_roll4,0.0104177838033458,0.014716308794715704,3
喚回-其他,nonrepeat_cnt_per_user,lgbm_tuned,0.007568295648529444,0.008431585254776493,3
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.07540790552954817,0.07842607274769747,3
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.060948339553790566,0.061522944644307194,3
喚回-高優惠敏感,nonrepeat_cnt_per_user,lgbm_tuned,0.04270158744378231,0.04304803400888789,3
既有regular鞏固,nonrepeat_cnt_per_user,baseline_lag1,0.06761361391011811,0.07949097038128468,3
既有regular鞏固,nonrepeat_cnt_per_user,baseline_roll4,0.06358372083138059,0.06730751830859835,3
既有regular鞏固,nonrepeat_cnt_per_user,lgbm_tuned,0.030399986983058763,0.0357213510752854,3
養成Regular-其他,nonrepeat_cnt_per_user,baseline_lag1,0.04269427906092113,0.0507589705511713,3
養成Regular-其他,nonrepeat_cnt_per_user,baseline_roll4,0.04173783458294111,0.044119023474332476,3
養成Regular-其他,nonrepeat_cnt_per_user,lgbm_tuned,0.035519837648167435,0.03915302242896587,3
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.0669147522891607,0.06941799582517486,3
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.06497305587492085,0.06508158514405535,3
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,lgbm_tuned,0.05437136967609032,0.05470054002138036,3
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.0317398984175654,0.031908099530873944,3
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.024115929349357936,0.025803979301635353,3
14天在其他尖峰預估車資,trip_cnt_per_user,lgbm_tuned,0.019006108440099506,0.01902863406700489,3
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.024723051328825605,0.02645790373502459,3
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.020512168011378538,0.02865286769840157,3
14天在晚尖峰預估車資,trip_cnt_per_user,lgbm_tuned,0.023007854579507058,0.023635673685374472,3
90天在尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.0079638362538067,0.009045741282966585,3
90天在尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.007699565357616632,0.009225056915060353,3
90天在尖峰預估車資,trip_cnt_per_user,lgbm_tuned,0.009037500108525652,0.009773346910770536,3
喚回-其他,trip_cnt_per_user,baseline_lag1,0.004874691268022033,0.005988669081588214,3
喚回-其他,trip_cnt_per_user,baseline_roll4,0.008601828372013435,0.008685541616790408,3
喚回-其他,trip_cnt_per_user,lgbm_tuned,0.004232895373278293,0.0042380711179585565,3
喚回-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.03172138742083256,0.03420102696840934,3
喚回-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.03173101220988376,0.03214049299802549,3
喚回-高優惠敏感,trip_cnt_per_user,lgbm_tuned,0.02875323226029101,0.03228491365848532,3
既有regular鞏固,trip_cnt_per_user,baseline_lag1,0.024870247103446135,0.03072671477796699,3
既有regular鞏固,trip_cnt_per_user,baseline_roll4,0.020013863628905764,0.0236207865135849,3
既有regular鞏固,trip_cnt_per_user,lgbm_tuned,0.023701432450866238,0.024055350970113795,3
養成Regular-其他,trip_cnt_per_user,baseline_lag1,0.024834087095659835,0.03822369090486939,3
養成Regular-其他,trip_cnt_per_user,baseline_roll4,0.026231441711372334,0.030931765973010308,3
養成Regular-其他,trip_cnt_per_user,lgbm_tuned,0.023747588285032862,0.02879857756112797,3
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.04029888510945464,0.040824589088527284,3
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.0390353726278673,0.03914087154230779,3
養成Regular-高優惠敏感,trip_cnt_per_user,lgbm_tuned,0.04019030478759932,0.040377764911108165,3
