ops_type_merged,city_group,target,RMSE,MAE,n
養成Regular-其他,中區,trip_cnt_per_user,0.046717349486837825,0.046717349486837825,1
喚回-高優惠敏感,南區,trip_cnt_per_user,0.044123000603052555,0.044123000603052555,1
養成Regular-高優惠敏感,北區,trip_cnt_per_user,0.04354613267668229,0.04354613267668229,1
養成Regular-高優惠敏感,南區,trip_cnt_per_user,0.04228184237199706,0.04228184237199706,1
養成Regular-高優惠敏感,中區,trip_cnt_per_user,0.03474293931411863,0.03474293931411863,1
喚回-高優惠敏感,北區,trip_cnt_per_user,0.033158782018252994,0.033158782018252994,1
14天在晚尖峰預估車資,北區,trip_cnt_per_user,0.028752704448062952,0.028752704448062952,1
既有regular鞏固,南區,trip_cnt_per_user,0.028642369720374816,0.028642369720374816,1
14天在晚尖峰預估車資,中區,trip_cnt_per_user,0.024514136338472464,0.024514136338472464,1
既有regular鞏固,中區,trip_cnt_per_user,0.023884898495537016,0.023884898495537016,1
14天在其他尖峰預估車資,中區,trip_cnt_per_user,0.02000599436615212,0.02000599436615212,1
14天在其他尖峰預估車資,南區,trip_cnt_per_user,0.01923781138179588,0.01923781138179588,1
既有regular鞏固,北區,trip_cnt_per_user,0.01857702913668688,0.01857702913668688,1
14天在其他尖峰預估車資,北區,trip_cnt_per_user,0.017774519572350517,0.017774519572350517,1
14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.015756722951985755,0.015756722951985755,1
