cat_feature,category_value,n,mean_shap,mean_abs_shap
treatment,40元1張,24,0.003067584855769112,0.003067584855769112
treatment,40x2元1張,24,0.002317039305422292,0.002317039305422292
treatment,30x2元1張,24,0.0019259105802169583,0.0019259105802169583
treatment,30元1張,24,0.0007781683763734083,0.0007781683763734083
treatment,15元1張,24,-0.0010902372272426166,0.0010902372272426168
treatment,15x2元1張,24,-0.0017221122089883833,0.0017221122089883833
treatment,20x2元1張,24,-0.002278192835835975,0.002278192835835975
treatment,20元1張,24,-0.002835085569876408,0.002835085569876408
source,隨機組,192,0.0,0.0
ops_type_merged,既有regular鞏固,24,0.06982270948106946,0.06982270948106946
ops_type_merged,14天在其他尖峰預估車資,24,0.037446023028986454,0.037446023028986454
ops_type_merged,14天在晚尖峰預估車資,24,0.03274311228540674,0.03274311228540674
ops_type_merged,養成Regular-高優惠敏感,24,-0.003977438479691483,0.003977438479691483
ops_type_merged,喚回-高優惠敏感,24,-0.01881407768264372,0.01881407768264372
ops_type_merged,養成Regular-其他,24,-0.027606775298997414,0.027606775298997414
ops_type_merged,喚回-其他,24,-0.04363741759557105,0.04363741759557105
ops_type_merged,90天在尖峰預估車資,24,-0.04426077807607417,0.04426077807607417
city_group,北區,64,0.006840626149719026,0.006840626149719027
city_group,中區,64,0.00023760881372720345,0.0004378735016513888
city_group,南區,64,-0.006731176374752566,0.006731176374752566
