feature,mean_abs_shap
ops_type_merged,0.03478854149105511
city_group,0.0046698920087077074
trip_cnt_per_user_roll4,0.0035665250617474566
weekday_trip_cnt_per_user_roll4,0.002919206531116885
log_coupon_register_total_per_user_roll4,0.002784870086035156
trip_cnt_per_user_lag1,0.002725300855328452
avg_rainy_weekday,0.0026041757849625227
weekday_trip_cnt_per_user_lag1,0.00254895399400114
log_coupon_MKT_total_per_user_roll4,0.0020905118662592347
avg_rainy_day,0.0020800485430001268
treatment,0.002001791369965694
log_coupon_CDP_total_per_user_lag1,0.0017059923847123114
log_coupon_CDP_total_per_user_lag2,0.0015017893984195828
log_coupon_BD_total_per_user_lag1,0.0014245169882498212
log_coupon_growth_other_total_per_user_roll4,0.0014176754189602501
log_coupon_register_total_per_user_lag2,0.0012348234860640383
log_coupon_BD_total_per_user_roll4,0.001126845453664905
nonrepeat_cnt_per_user_lag1,0.0009151487068067918
weekday_nonrepeat_cnt_per_user_roll4,0.0009016476408592629
log_coupon_total_per_user_lag1,0.0008826715757751838
weekday_match_rate_lag2,0.0008691654801008829
delta_trip_per_user,0.0008216483420125585
weekend_nonrepeat_cnt_per_user_lag1,0.0007708909776941352
log_coupon_total_per_user_lag2,0.0006963377780336532
weekend_nonrepeat_cnt_per_user_roll4,0.0006806977544023111
log_coupon_total_per_user_roll4,0.0006695270078075202
weekday_nonrepeat_cnt_per_user_lag1,0.0006478074028122496
weekend_match_rate_lag1,0.0006321453906731496
weekend_trip_cnt_per_user_roll4,0.0005568320269814821
weekend_match_rate_roll4,0.00048204486345133045
weekend_match_rate_lag2,0.00045867981888532395
weekday_match_rate_lag1,0.0003432545093207369
log_coupon_BD_total_per_user_lag2,0.00031973879356493893
trip_cnt_per_user_lag2,0.00030592298593900446
log_coupon_MGM_total_per_user_roll4,0.0002907950927877906
nonrepeat_cnt_per_user_roll4,0.00026568807356832264
log_coupon_CDP_total_per_user_roll4,0.00025630367940332943
log_coupon_folk_total_per_user_roll4,0.00019923803874057183
weekday_trip_cnt_per_user_lag2,0.00018553345202462348
delta_nonrepeat_per_user,0.00018499399090414622
log_coupon_register_total_per_user_lag1,8.271059060749157e-05
mgm_day,7.270379975642323e-05
log_coupon_MKT_total_per_user_lag2,6.03742445369591e-05
log_coupon_MKT_total_per_user_lag1,5.698908774496959e-05
weekend_trip_cnt_per_user_lag1,5.451926268662635e-05
weekday_match_rate_roll4,4.3891734018891984e-05
log_coupon_growth_other_total_per_user_lag1,3.938764576766801e-05
log_coupon_growth_other_total_per_user_lag2,3.064192748051967e-05
avg_rainy_weekend,0.0
weekday_match_rate_lag2_isna,0.0
weekday_match_rate_lag1_isna,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0
weekend_trip_cnt_per_user_lag2,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_lag2_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0
weekend_nonrepeat_cnt_per_user_lag2,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0
nonrepeat_cnt_per_user_lag2,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0
trip_cnt_per_user_lag2_isna,0.0
trip_cnt_per_user_lag1_isna,0.0
trip_cnt_per_user_roll4_isna,0.0
nonrepeat_cnt_per_user_lag1_isna,0.0
source,0.0
has_national_holiday,0.0
log_coupon_BD_total_per_user_lag1_isna,0.0
log_coupon_BD_total_per_user_lag2_isna,0.0
log_coupon_CDP_total_per_user_lag1_isna,0.0
