feature,mean_shap
log_coupon_CDP_total_per_user_lag2,0.0014927685350367623
weekend_nonrepeat_cnt_per_user_lag1,0.0003995386701110835
trip_cnt_per_user_lag1,0.0003881761062258177
weekday_trip_cnt_per_user_lag1,0.00028690826440686245
log_coupon_CDP_total_per_user_roll4,0.00024791784756866944
ops_type_merged,0.0002144197078106038
delta_trip_per_user,0.00020168925050368682
nonrepeat_cnt_per_user_lag1,0.00018018390273233492
trip_cnt_per_user_roll4,0.00017689832231429018
city_group,0.00011568619623122149
weekday_match_rate_lag2,8.490402815224932e-05
weekend_trip_cnt_per_user_roll4,5.943271385201793e-05
weekday_nonrepeat_cnt_per_user_roll4,4.861365716889845e-05
log_coupon_growth_other_total_per_user_lag2,3.0002154042853253e-05
log_coupon_growth_other_total_per_user_lag1,2.9035146400017264e-05
log_coupon_BD_total_per_user_roll4,2.698711647068222e-05
treatment,2.0384409479798474e-05
weekday_match_rate_roll4,6.813544921758128e-06
weekend_trip_cnt_per_user_lag1,5.06782134456558e-06
avg_rainy_weekend,0.0
log_coupon_CDP_total_per_user_lag1_isna,0.0
log_coupon_BD_total_per_user_lag2_isna,0.0
log_coupon_BD_total_per_user_lag1_isna,0.0
has_national_holiday,0.0
source,0.0
nonrepeat_cnt_per_user_lag1_isna,0.0
trip_cnt_per_user_roll4_isna,0.0
trip_cnt_per_user_lag1_isna,0.0
trip_cnt_per_user_lag2_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0
nonrepeat_cnt_per_user_lag2,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0
weekend_nonrepeat_cnt_per_user_lag2,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2,0.0
weekday_trip_cnt_per_user_lag2_isna,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0
weekend_trip_cnt_per_user_lag2,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0
weekday_match_rate_lag1_isna,0.0
weekday_match_rate_lag2_isna,0.0
log_coupon_growth_other_total_per_user_roll4_isna,0.0
log_coupon_growth_other_total_per_user_lag2_isna,0.0
log_coupon_folk_total_per_user_roll4_isna,0.0
log_coupon_growth_other_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_lag1,0.0
log_coupon_folk_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_lag2,0.0
log_coupon_folk_total_per_user_lag2_isna,0.0
log_coupon_CDP_total_per_user_roll4_isna,0.0
log_coupon_CDP_total_per_user_lag2_isna,0.0
weekday_match_rate_roll4_isna,0.0
weekend_match_rate_lag1_isna,0.0
log_coupon_MKT_total_per_user_lag1_isna,0.0
log_coupon_MGM_total_per_user_roll4_isna,0.0
log_coupon_MGM_total_per_user_lag1,0.0
log_coupon_MGM_total_per_user_lag1_isna,0.0
log_coupon_register_total_per_user_lag2_isna,0.0
log_coupon_register_total_per_user_lag1_isna,0.0
log_coupon_MKT_total_per_user_lag2_isna,0.0
log_coupon_MKT_total_per_user_roll4_isna,0.0
log_coupon_MGM_total_per_user_lag2_isna,0.0
log_coupon_MGM_total_per_user_lag2,0.0
log_coupon_daily_total_per_user_lag1,0.0
log_coupon_register_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_roll4,0.0
log_coupon_daily_total_per_user_lag2_isna,0.0
log_coupon_daily_total_per_user_lag2,0.0
log_coupon_daily_total_per_user_lag1_isna,0.0
log_coupon_BD_total_per_user_roll4_isna,0.0
weekend_match_rate_roll4_isna,0.0
weekend_match_rate_lag2_isna,0.0
log_coupon_total_per_user_lag2_isna,0.0
log_coupon_total_per_user_lag1_isna,0.0
log_coupon_total_per_user_roll4_isna,0.0
log_coupon_register_total_per_user_lag1,-2.111387462651835e-06
log_coupon_register_total_per_user_roll4,-5.363758186355369e-06
log_coupon_MKT_total_per_user_lag2,-6.574106905145863e-06
log_coupon_MKT_total_per_user_lag1,-8.82608655723953e-06
delta_nonrepeat_per_user,-1.153510380591325e-05
log_coupon_total_per_user_roll4,-1.846355568498021e-05
weekday_nonrepeat_cnt_per_user_lag1,-2.6105237908921382e-05
weekend_match_rate_lag1,-3.178888897333866e-05
log_coupon_folk_total_per_user_roll4,-3.27062444082859e-05
log_coupon_total_per_user_lag2,-4.9548710895321885e-05
mgm_day,-7.270379975642169e-05
trip_cnt_per_user_lag2,-8.304265115936984e-05
nonrepeat_cnt_per_user_roll4,-8.378437069480494e-05
weekday_trip_cnt_per_user_lag2,-8.652987587925419e-05
log_coupon_MGM_total_per_user_roll4,-9.726075935743625e-05
weekend_nonrepeat_cnt_per_user_roll4,-0.0001139641783901648
log_coupon_total_per_user_lag1,-0.0001142011481727676
weekend_match_rate_roll4,-0.00011685510706557153
weekday_match_rate_lag1,-0.000139054284945238
weekend_match_rate_lag2,-0.00015204695128135453
log_coupon_BD_total_per_user_lag2,-0.00019153498339180238
log_coupon_MKT_total_per_user_roll4,-0.00020807267260346612
weekday_trip_cnt_per_user_roll4,-0.0002324311019705037
log_coupon_register_total_per_user_lag2,-0.000441727426430624
log_coupon_BD_total_per_user_lag1,-0.00047027360994596657
log_coupon_growth_other_total_per_user_roll4,-0.001349674143184608
log_coupon_CDP_total_per_user_lag1,-0.001705992384712263
avg_rainy_day,-0.0020800485430000825
avg_rainy_weekday,-0.0026041757849624776
