cat_feature,category_value,n,mean_shap,mean_abs_shap
treatment,40元1張,24,0.0030526959458127,0.0030526959458127
treatment,40x2元1張,24,0.0026604160884884337,0.002660416088488433
treatment,30元1張,24,0.001603279099369425,0.001603279099369425
treatment,30x2元1張,24,0.0005926646844436406,0.0005926646844436406
treatment,15元1張,24,-0.0007775684826533531,0.0008026536108930135
treatment,15x2元1張,24,-0.0012913825023341166,0.0012913825023341166
treatment,20元1張,24,-0.0028371083762525375,0.0028371083762525375
treatment,20x2元1張,24,-0.003060303880042158,0.003060303880042159
source,隨機組,192,0.0,0.0
ops_type_merged,既有regular鞏固,24,0.08189673926394637,0.08189673926394637
ops_type_merged,14天在其他尖峰預估車資,24,0.06113083804650715,0.06113083804650715
ops_type_merged,14天在晚尖峰預估車資,24,0.0569869665044597,0.0569869665044597
ops_type_merged,養成Regular-高優惠敏感,24,-0.008800697312103953,0.008800697312103953
ops_type_merged,喚回-高優惠敏感,24,-0.029200911828651976,0.029200911828651976
ops_type_merged,養成Regular-其他,24,-0.03669253308558774,0.03669253308558774
ops_type_merged,90天在尖峰預估車資,24,-0.05606076462534069,0.05606076462534069
ops_type_merged,喚回-其他,24,-0.05609081519408001,0.05609081519408002
city_group,北區,64,0.00706972808168793,0.00706972808168793
city_group,中區,64,0.00069993793395352,0.0008594206935759964
city_group,南區,64,-0.007268791572171466,0.007268791572171466
