feature,mean_abs_shap
ops_type_merged,0.04835753323258471
avg_rainy_day,0.009803908660637004
log_coupon_MGM_total_per_user_lag2,0.00555944203976377
city_group,0.005065980115811845
nonrepeat_cnt_per_user_lag1,0.004109224712212105
log_coupon_MKT_total_per_user_roll4,0.0036535407235533082
log_coupon_CDP_total_per_user_lag1,0.0033066397504199594
log_coupon_growth_other_total_per_user_roll4,0.003252125010086712
avg_rainy_weekday,0.0031586269226550143
trip_cnt_per_user_lag1,0.0030922406337819887
log_coupon_CDP_total_per_user_lag2,0.0028966079049793764
log_coupon_register_total_per_user_roll4,0.0027887306905070943
nonrepeat_cnt_per_user_roll4,0.0022999358301098844
log_coupon_BD_total_per_user_lag1,0.0020679928707894204
treatment,0.001987563023454552
weekday_trip_cnt_per_user_lag1,0.0019562021982606806
log_coupon_register_total_per_user_lag2,0.0018025063460970032
weekday_trip_cnt_per_user_roll4,0.0016748112606963404
log_coupon_BD_total_per_user_roll4,0.001645242750093704
nonrepeat_cnt_per_user_lag2,0.0011714714408235605
mgm_day,0.0011463303032829995
log_coupon_MGM_total_per_user_roll4,0.0010876696277740568
weekend_nonrepeat_cnt_per_user_lag1,0.0010701403803750045
weekend_match_rate_roll4,0.0009595855043441477
log_coupon_MKT_total_per_user_lag2,0.0009409980957949043
weekend_trip_cnt_per_user_roll4,0.0009316182975131573
log_coupon_growth_other_total_per_user_lag1,0.0008936729881514083
weekday_match_rate_lag2,0.0008784867961704575
log_coupon_total_per_user_roll4,0.0008632533588704721
weekday_match_rate_lag1,0.000856611228549388
weekend_trip_cnt_per_user_lag2,0.0008213062540853823
log_coupon_total_per_user_lag1,0.0007785200247653894
weekday_nonrepeat_cnt_per_user_lag1,0.0007755793923515422
log_coupon_MGM_total_per_user_lag1,0.0007730229850114553
delta_trip_per_user,0.0007461193011313114
weekend_match_rate_lag1,0.0007159599574076426
weekend_nonrepeat_cnt_per_user_roll4,0.0006370209083294434
weekday_nonrepeat_cnt_per_user_roll4,0.0005745853146617664
trip_cnt_per_user_roll4,0.000516491188726786
delta_nonrepeat_per_user,0.0004465028851039362
log_coupon_CDP_total_per_user_roll4,0.00036307329797664336
log_coupon_total_per_user_lag2,0.00034235139175186734
weekday_trip_cnt_per_user_lag2,0.000301347692768221
weekend_trip_cnt_per_user_lag1,0.0002965461479862666
weekend_match_rate_lag2,0.0001927502915643435
trip_cnt_per_user_lag2,0.00018072493133373512
log_coupon_BD_total_per_user_lag2,0.00018018203951780155
log_coupon_growth_other_total_per_user_lag2,0.00017481987962685865
weekday_match_rate_roll4,0.0001647757138066152
log_coupon_register_total_per_user_lag1,0.00015204511436143144
weekday_nonrepeat_cnt_per_user_lag2,0.00012632782030066425
log_coupon_folk_total_per_user_roll4,0.0001224401397040954
log_coupon_MKT_total_per_user_lag1,7.589374473864177e-05
weekend_nonrepeat_cnt_per_user_lag2,7.509923161346367e-05
weekday_trip_cnt_per_user_lag2_isna,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0
weekday_match_rate_lag2_isna,0.0
weekday_match_rate_lag1_isna,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0
trip_cnt_per_user_lag2_isna,0.0
has_national_holiday,0.0
source,0.0
avg_rainy_weekend,0.0
trip_cnt_per_user_roll4_isna,0.0
trip_cnt_per_user_lag1_isna,0.0
nonrepeat_cnt_per_user_lag1_isna,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0
log_coupon_CDP_total_per_user_lag1_isna,0.0
log_coupon_BD_total_per_user_roll4_isna,0.0
weekend_match_rate_roll4_isna,0.0
weekend_match_rate_lag2_isna,0.0
log_coupon_growth_other_total_per_user_roll4_isna,0.0
log_coupon_growth_other_total_per_user_lag2_isna,0.0
log_coupon_folk_total_per_user_roll4_isna,0.0
log_coupon_growth_other_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_lag1,0.0
log_coupon_folk_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_lag2,0.0
log_coupon_folk_total_per_user_lag2_isna,0.0
log_coupon_CDP_total_per_user_roll4_isna,0.0
log_coupon_CDP_total_per_user_lag2_isna,0.0
weekday_match_rate_roll4_isna,0.0
weekend_match_rate_lag1_isna,0.0
