treatment,target,best_baseline_model,best_baseline_rmse,lgbm_model,lgbm_rmse,improve_ratio,improve_pct
15x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0583519352607989,lgbm_global,0.0384199147311058,0.34158285308976755,34.15828530897676
15元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0599653270154665,lgbm_global,0.0383207249029738,0.3609519565683355,36.09519565683355
20x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0562041916708793,lgbm_global,0.0353497538772547,0.3710477310259009,37.10477310259009
20元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0774466717214874,lgbm_global,0.0564371980919023,0.2712766496298133,27.127664962981328
30x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0758751966730974,lgbm_global,0.0565379379598826,0.2548561263903925,25.48561263903925
30元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0722476138870623,lgbm_global,0.0424087798613643,0.4130078824795814,41.300788247958145
40x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0596246062894756,lgbm_global,0.0434716122871543,0.27091154151859753,27.091154151859755
40元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0661397220744701,lgbm_global,0.0472390802690174,0.2857683886873836,28.576838868738356
15x2元1張,trip_cnt_per_user,baseline_lag1,0.0379398455660701,lgbm_global,0.0358884271915616,0.05407028794927672,5.4070287949276725
15元1張,trip_cnt_per_user,baseline_lag1,0.0422051556031182,lgbm_global,0.0287091157954465,0.3197723030471326,31.97723030471326
20x2元1張,trip_cnt_per_user,baseline_roll4,0.0365652166385359,lgbm_global,0.0319903488451982,0.12511529299996746,12.511529299996745
20元1張,trip_cnt_per_user,baseline_roll4,0.0566176255679407,lgbm_global,0.04534251604017,0.19914486725058186,19.914486725058186
30x2元1張,trip_cnt_per_user,baseline_roll4,0.0530427129355553,lgbm_global,0.0464679221428149,0.12395276238469358,12.395276238469357
30元1張,trip_cnt_per_user,baseline_roll4,0.0426645961665185,lgbm_global,0.0234669791189429,0.4499659852081557,44.996598520815574
40x2元1張,trip_cnt_per_user,baseline_roll4,0.0384960367695965,lgbm_global,0.0392551474528574,-0.019719190518345305,-1.9719190518345304
40元1張,trip_cnt_per_user,baseline_roll4,0.0463775859614369,lgbm_global,0.0357977104461222,0.22812475673295934,22.812475673295936
