treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
30x2元1張,隨機組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.00015876779275343644,0.00015876779275343644,1
30元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,0.00024393662349947443,0.00024393662349947443,1
20x2元1張,隨機組,養成Regular-其他,南區,nonrepeat_cnt_per_user,0.000551452575140457,0.000551452575140457,1
30元1張,隨機組,90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.000564934319311497,0.000564934319311497,1
15元1張,隨機組,養成Regular-其他,南區,nonrepeat_cnt_per_user,0.0005838388377013143,0.0005838388377013143,1
15x2元1張,隨機組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.0008541353518227782,0.0008541353518227782,1
15x2元1張,隨機組,90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.0010431800189007884,0.0010431800189007884,1
40x2元1張,隨機組,養成Regular-其他,南區,nonrepeat_cnt_per_user,0.0011483672586250632,0.0011483672586250632,1
30x2元1張,隨機組,養成Regular-其他,北區,nonrepeat_cnt_per_user,0.0011612770964054137,0.0011612770964054137,1
20x2元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,0.0012836149035174715,0.0012836149035174715,1
40元1張,隨機組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.0015080746315439958,0.0015080746315439958,1
20元1張,隨機組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.001618244662720869,0.001618244662720869,1
30x2元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.0016452938643755355,0.0016452938643755355,1
15元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.0018145013555882356,0.0018145013555882356,1
40x2元1張,隨機組,14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.0022937705691048194,0.0022937705691048194,1
