treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
30x2元1張,隨機組,喚回-其他,北區,trip_cnt_per_user,0.00037211713058234175,0.00037211713058234175,1
20元1張,隨機組,喚回-高優惠敏感,北區,trip_cnt_per_user,0.0005683276885028871,0.0005683276885028871,1
15x2元1張,隨機組,90天在尖峰預估車資,中區,trip_cnt_per_user,0.0007033534246462456,0.0007033534246462456,1
30元1張,隨機組,14天在晚尖峰預估車資,北區,trip_cnt_per_user,0.0010852911144215993,0.0010852911144215993,1
20x2元1張,隨機組,喚回-其他,北區,trip_cnt_per_user,0.0011348834857549672,0.0011348834857549672,1
40x2元1張,隨機組,喚回-其他,中區,trip_cnt_per_user,0.0014760221705128473,0.0014760221705128473,1
20x2元1張,隨機組,養成Regular-高優惠敏感,南區,trip_cnt_per_user,0.0017570433895111315,0.0017570433895111315,1
15元1張,隨機組,既有regular鞏固,南區,trip_cnt_per_user,0.0018346636534281868,0.0018346636534281868,1
20元1張,隨機組,養成Regular-其他,北區,trip_cnt_per_user,0.001961874602365715,0.001961874602365715,1
40元1張,隨機組,90天在尖峰預估車資,南區,trip_cnt_per_user,0.002014211976564227,0.002014211976564227,1
30元1張,隨機組,90天在尖峰預估車資,南區,trip_cnt_per_user,0.0027502235459740607,0.0027502235459740607,1
30元1張,隨機組,喚回-其他,北區,trip_cnt_per_user,0.0028678641536038565,0.0028678641536038565,1
20x2元1張,隨機組,14天在其他尖峰預估車資,中區,trip_cnt_per_user,0.0029473676667831905,0.0029473676667831905,1
15元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.0029707474316116103,0.0029707474316116103,1
20元1張,隨機組,90天在尖峰預估車資,中區,trip_cnt_per_user,0.003116139154735957,0.003116139154735957,1
15元1張,隨機組,喚回-其他,南區,trip_cnt_per_user,0.0031203712351463367,0.0031203712351463367,1
15元1張,隨機組,14天在其他尖峰預估車資,北區,trip_cnt_per_user,0.003128437348184132,0.003128437348184132,1
15元1張,隨機組,喚回-其他,北區,trip_cnt_per_user,0.0032224639694905105,0.0032224639694905105,1
30x2元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.003422772952370645,0.003422772952370645,1
40元1張,隨機組,養成Regular-其他,北區,trip_cnt_per_user,0.0038737721128048325,0.0038737721128048325,1
15x2元1張,隨機組,喚回-其他,南區,trip_cnt_per_user,0.004110883539564174,0.004110883539564174,1
30x2元1張,隨機組,14天在其他尖峰預估車資,中區,trip_cnt_per_user,0.0045830702925059585,0.0045830702925059585,1
20元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.004693688176416584,0.004693688176416584,1
30元1張,隨機組,既有regular鞏固,北區,trip_cnt_per_user,0.004955313356522606,0.004955313356522606,1
40元1張,隨機組,90天在尖峰預估車資,中區,trip_cnt_per_user,0.0054322538911996815,0.0054322538911996815,1
40x2元1張,隨機組,喚回-其他,北區,trip_cnt_per_user,0.006213626000332442,0.006213626000332442,1
30x2元1張,隨機組,養成Regular-高優惠敏感,南區,trip_cnt_per_user,0.006246337117158343,0.006246337117158343,1
20x2元1張,隨機組,90天在尖峰預估車資,中區,trip_cnt_per_user,0.006335018932474783,0.006335018932474783,1
30元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.0067442001959325745,0.0067442001959325745,1
20元1張,隨機組,喚回-其他,北區,trip_cnt_per_user,0.007153480449282448,0.007153480449282448,1
40元1張,隨機組,14天在晚尖峰預估車資,北區,trip_cnt_per_user,0.007280268916095095,0.007280268916095095,1
30元1張,隨機組,喚回-其他,南區,trip_cnt_per_user,0.00827241555635519,0.00827241555635519,1
30元1張,隨機組,14天在其他尖峰預估車資,北區,trip_cnt_per_user,0.008764000802504668,0.008764000802504668,1
30元1張,隨機組,喚回-高優惠敏感,中區,trip_cnt_per_user,0.008869289571167935,0.008869289571167935,1
15x2元1張,隨機組,喚回-高優惠敏感,南區,trip_cnt_per_user,0.009303540509829733,0.009303540509829733,1
40元1張,隨機組,既有regular鞏固,中區,trip_cnt_per_user,0.009387633870588413,0.009387633870588413,1
40x2元1張,隨機組,養成Regular-高優惠敏感,北區,trip_cnt_per_user,0.009782218965246392,0.009782218965246392,1
40x2元1張,隨機組,養成Regular-高優惠敏感,南區,trip_cnt_per_user,0.010085073956944426,0.010085073956944426,1
40元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.010174972701026373,0.010174972701026373,1
30x2元1張,隨機組,90天在尖峰預估車資,南區,trip_cnt_per_user,0.010305717503661264,0.010305717503661264,1
15元1張,隨機組,90天在尖峰預估車資,南區,trip_cnt_per_user,0.010994911689495283,0.010994911689495283,1
20元1張,隨機組,既有regular鞏固,南區,trip_cnt_per_user,0.01119783020590795,0.01119783020590795,1
30x2元1張,隨機組,養成Regular-其他,北區,trip_cnt_per_user,0.011698878556702104,0.011698878556702104,1
40x2元1張,隨機組,養成Regular-其他,北區,trip_cnt_per_user,0.011739464336987443,0.011739464336987443,1
15x2元1張,隨機組,養成Regular-高優惠敏感,中區,trip_cnt_per_user,0.011949394846249253,0.011949394846249253,1
40x2元1張,隨機組,90天在尖峰預估車資,北區,trip_cnt_per_user,0.012108388679877215,0.012108388679877215,1
15元1張,隨機組,既有regular鞏固,中區,trip_cnt_per_user,0.012374824733830309,0.012374824733830309,1
15元1張,隨機組,喚回-高優惠敏感,北區,trip_cnt_per_user,0.012420406924616462,0.012420406924616462,1
20x2元1張,隨機組,既有regular鞏固,北區,trip_cnt_per_user,0.012441223877639518,0.012441223877639518,1
30元1張,隨機組,養成Regular-高優惠敏感,南區,trip_cnt_per_user,0.012688426178149498,0.012688426178149498,1
15元1張,隨機組,14天在晚尖峰預估車資,中區,trip_cnt_per_user,0.013527450376209893,0.013527450376209893,1
