city_group,target,model,MAE,RMSE,n
中區,nonrepeat_cnt_per_user,baseline_lag1,0.0735308986830141,0.0977548319541297,64
中區,nonrepeat_cnt_per_user,baseline_roll4,0.05725899274995547,0.07302230488733624,64
中區,nonrepeat_cnt_per_user,lgbm_global,0.04477205198739939,0.058665637107505296,64
北區,nonrepeat_cnt_per_user,baseline_lag1,0.06806138632106398,0.0822538440035246,64
北區,nonrepeat_cnt_per_user,baseline_roll4,0.06160050471909585,0.07156321751675397,64
北區,nonrepeat_cnt_per_user,lgbm_global,0.021653460281635617,0.027539870708162814,64
南區,nonrepeat_cnt_per_user,baseline_lag1,0.05370326123033865,0.07663013440674184,64
南區,nonrepeat_cnt_per_user,baseline_roll4,0.03958934825517356,0.0519177365246885,64
南區,nonrepeat_cnt_per_user,lgbm_global,0.033768174427843745,0.04456209642735752,64
中區,trip_cnt_per_user,baseline_lag1,0.05063262752149261,0.06978518411530495,64
中區,trip_cnt_per_user,baseline_roll4,0.04469497793051577,0.056940658111312485,64
中區,trip_cnt_per_user,lgbm_global,0.03557118500788277,0.045234433949151616,64
北區,trip_cnt_per_user,baseline_lag1,0.03084738219007433,0.03973366693229478,64
北區,trip_cnt_per_user,baseline_roll4,0.029409810720128767,0.03579891961123073,64
北區,trip_cnt_per_user,lgbm_global,0.017779223147911433,0.021863546458043958,64
南區,trip_cnt_per_user,baseline_lag1,0.044081490414289305,0.060461383803248295,64
南區,trip_cnt_per_user,baseline_roll4,0.030516931521208754,0.040872204523970494,64
南區,trip_cnt_per_user,lgbm_global,0.03064426862677197,0.038695018149814804,64
