ops_type_merged,target,model,MAE,RMSE,n
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.06658362403482654,0.08019536534669036,24
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.058578079824338464,0.06588043036104262,24
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.026538787186991555,0.03565636446842427,24
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.11800119627894874,0.13554117876211508,24
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.08691994939741926,0.09829308134981647,24
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.05106147025944119,0.06334949359045983,24
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.028501404174132206,0.03356167230992511,24
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.021231215172803963,0.026068192139634485,24
90天在尖峰預估車資,nonrepeat_cnt_per_user,lgbm_global,0.011848076892302025,0.01566516524096806,24
喚回-其他,nonrepeat_cnt_per_user,baseline_lag1,0.034813982668306646,0.041553360973094845,24
喚回-其他,nonrepeat_cnt_per_user,baseline_roll4,0.02481177532332639,0.02864866896152559,24
喚回-其他,nonrepeat_cnt_per_user,lgbm_global,0.016041822236289596,0.020134367324331798,24
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.06076246255617959,0.08165982999370157,24
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.05527558564854376,0.0646334208716132,24
喚回-高優惠敏感,nonrepeat_cnt_per_user,lgbm_global,0.04759294480470703,0.05698068782775561,24
既有regular鞏固,nonrepeat_cnt_per_user,baseline_lag1,0.09861289787255745,0.12537338827984656,24
既有regular鞏固,nonrepeat_cnt_per_user,baseline_roll4,0.07105618346683129,0.08885106362152816,24
既有regular鞏固,nonrepeat_cnt_per_user,lgbm_global,0.04531032617562005,0.061105734064919225,24
養成Regular-其他,nonrepeat_cnt_per_user,baseline_lag1,0.05424178214339278,0.06510916404196873,24
養成Regular-其他,nonrepeat_cnt_per_user,baseline_roll4,0.04803660844959753,0.058339543508581164,24
養成Regular-其他,nonrepeat_cnt_per_user,lgbm_global,0.029431457906460252,0.03722049142231385,24
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_lag1,0.05927077356343404,0.070013468293553,24
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.056620857981739,0.06392539285101122,24
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,lgbm_global,0.0425127673639212,0.049019998477835114,24
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.036224656273984364,0.04522235994302323,24
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.031500708800438246,0.03632080782803125,24
14天在其他尖峰預估車資,trip_cnt_per_user,lgbm_global,0.026501346748870742,0.02944934505329296,24
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.07579646133663694,0.08934266770576835,24
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.05934840819930415,0.0727843020991026,24
14天在晚尖峰預估車資,trip_cnt_per_user,lgbm_global,0.041821178687604266,0.053109750039427674,24
90天在尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.01441775212949308,0.017683665800549198,24
90天在尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.011421080918449865,0.015477450853844676,24
90天在尖峰預估車資,trip_cnt_per_user,lgbm_global,0.01203156346778453,0.015142507116388917,24
喚回-其他,trip_cnt_per_user,baseline_lag1,0.02380938674146942,0.028766841427570498,24
喚回-其他,trip_cnt_per_user,baseline_roll4,0.017477972087818337,0.02016941466575214,24
喚回-其他,trip_cnt_per_user,lgbm_global,0.015281191768947204,0.019333262793429583,24
喚回-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.05099678156044509,0.06652322158175689,24
喚回-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.04411661325066876,0.049363736709745656,24
喚回-高優惠敏感,trip_cnt_per_user,lgbm_global,0.03977993063226904,0.04785491993703368,24
既有regular鞏固,trip_cnt_per_user,baseline_lag1,0.06538074200799687,0.08785611872602485,24
既有regular鞏固,trip_cnt_per_user,baseline_roll4,0.04670051237261621,0.06031344878385655,24
既有regular鞏固,trip_cnt_per_user,lgbm_global,0.035879990307230984,0.04696094316653724,24
養成Regular-其他,trip_cnt_per_user,baseline_lag1,0.03204100637293338,0.04215254879307644,24
養成Regular-其他,trip_cnt_per_user,baseline_roll4,0.03205380942751965,0.0393438749959694,24
養成Regular-其他,trip_cnt_per_user,lgbm_global,0.023234282438386118,0.0270652177993254,24
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_lag1,0.036163880579324195,0.04308769065938507,24
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.03637214873479357,0.040406581876428,24
養成Regular-高優惠敏感,trip_cnt_per_user,lgbm_global,0.03023118114872338,0.035279425873121995,24
