treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
30x2元1張,隨機組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.17298172837578502,0.17298172837578502,1
20元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.13610635371073787,0.13610635371073787,1
30x2元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.1306203748194789,0.1306203748194789,1
40元1張,隨機組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.12277823482062414,0.12277823482062414,1
20元1張,隨機組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.12084680347166427,0.12084680347166427,1
20元1張,隨機組,喚回-高優惠敏感,中區,nonrepeat_cnt_per_user,0.11832768918913976,0.11832768918913976,1
20x2元1張,隨機組,喚回-高優惠敏感,南區,nonrepeat_cnt_per_user,0.10821065816865827,0.10821065816865827,1
30元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.1011406518273809,0.1011406518273809,1
20元1張,隨機組,養成Regular-其他,中區,nonrepeat_cnt_per_user,0.09493987206657953,0.09493987206657953,1
40x2元1張,隨機組,喚回-高優惠敏感,南區,nonrepeat_cnt_per_user,0.09431401462063276,0.09431401462063276,1
40元1張,隨機組,養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.0922383028445468,0.0922383028445468,1
40x2元1張,隨機組,養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.09138002751093983,0.09138002751093983,1
30x2元1張,隨機組,養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.09063104903608932,0.09063104903608932,1
15元1張,隨機組,14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.08938451536632427,0.08938451536632427,1
40x2元1張,隨機組,14天在其他尖峰預估車資,南區,nonrepeat_cnt_per_user,0.08815612060101818,0.08815612060101818,1
