treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
30x2元1張,隨機組,既有regular鞏固,中區,trip_cnt_per_user,0.121937584239853,0.121937584239853,1
30x2元1張,隨機組,14天在晚尖峰預估車資,中區,trip_cnt_per_user,0.11715982495731159,0.11715982495731159,1
20元1張,隨機組,喚回-高優惠敏感,中區,trip_cnt_per_user,0.115900705922996,0.115900705922996,1
15x2元1張,隨機組,14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.10957197950224015,0.10957197950224015,1
20元1張,隨機組,14天在晚尖峰預估車資,中區,trip_cnt_per_user,0.10215766029810948,0.10215766029810948,1
40元1張,隨機組,既有regular鞏固,南區,trip_cnt_per_user,0.0984983320003244,0.0984983320003244,1
40x2元1張,隨機組,喚回-高優惠敏感,中區,trip_cnt_per_user,0.0820212252312698,0.0820212252312698,1
30x2元1張,隨機組,14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.08043827061487992,0.08043827061487992,1
20x2元1張,隨機組,喚回-高優惠敏感,南區,trip_cnt_per_user,0.07821818236238537,0.07821818236238537,1
20元1張,隨機組,既有regular鞏固,中區,trip_cnt_per_user,0.0781548770266576,0.0781548770266576,1
40x2元1張,隨機組,喚回-高優惠敏感,南區,trip_cnt_per_user,0.07493063396836074,0.07493063396836074,1
20x2元1張,隨機組,既有regular鞏固,南區,trip_cnt_per_user,0.06858433305210873,0.06858433305210873,1
40x2元1張,隨機組,養成Regular-高優惠敏感,中區,trip_cnt_per_user,0.06687022586327684,0.06687022586327684,1
40x2元1張,隨機組,既有regular鞏固,南區,trip_cnt_per_user,0.06635516487760776,0.06635516487760776,1
20元1張,隨機組,14天在晚尖峰預估車資,南區,trip_cnt_per_user,0.06607876169428281,0.06607876169428281,1
